activity,section,week,value,notes
Washing Hands,PL,1,3,"introduced the material, spent time working and talking with others"
Walking a Line,PL,1,1,was attentive to instruction and interested
Rolling and unrolling a rug,PL,1,4,introduced concept
Flower arranging,PL,1,5,"great work, partnered with lila"
Watering a plant,PL,1,2,"attentive, interested"
Ironing,PL,1,4,introduced material
Trinomial Cube,S,1,2,started instruction
Red Rods,S,1,5,made progress
Brown Stair,S,1,4,"doing great, did by self several times throughout each day, Katelyn: What was your favorite work at school?
Answer: I don't know. ummmmm the brown stair and drawing."
Silence Game,S,1,5,"spent some time working on this, very interested"
Thermic Bottles,S,1,2,"started by self, selected as afternoon work"
Fabric Matching,S,1,7,introduced material
Baric Tablets,S,1,6,"introduced material, made some progress, did not show interest later in the week"
Color Tablets,S,1,5,"no interest early in the week, but chose to work with it on friday morning, although did not continue"
Ten Boards,M,1,2,"started stage 1, on monday was very interested, but did not continue for 2 days. chose as independent work wednesday afternoon, but did not continue after 1 hour"
Addition Snake Game,M,1,1,"made progress each day this week, slow and careful, no interest early in the week, but chose to work with it on friday morning, although did not continue"
Addition with bead bars,M,1,2,"a favorite already, spend time by self working with material each afternoon, very engaged"
Short bead stair,M,1,5,"finds this very challenging, slowly progressing, no interest early in the week, but chose to work with it on friday morning, although did not continue"
Hundred board,M,1,9,"finds this very challenging, slowly progressing, no interest early in the week, but chose to work with it on friday morning, although did not continue"
Stamp Game,M,1,3,"some interest, collaborated with group, later in the week = a favorite already, spend time by self working with material each afternoon, very engaged"
Subtraction Working Charts,M,1,2,"very loud about this, made comments,started stage 1, on monday was very interested, but did not continue for 2 days. chose as independent work wednesday afternoon, but did not continue after 1 hour"
Double Sandpaper Letters,L,1,5,introducted and started tracing
Sand Tray,L,1,5,"wrote several letters, started stage 1, on monday was very interested, but did not continue for 2 days. chose as independent work wednesday afternoon, but did not continue after 1 hour"
Washing Hands,PL,2,4,"yes, great progress, a favorite already, spend time by self working with material each afternoon, very engaged"
Walking a Line,PL,2,2,"yes, continued to work on this"
Rolling and unrolling a rug,PL,2,5,"doing great, did by self several times throughout each day"
Flower arranging,PL,2,5,"not interested, put away"
Watering a plant,PL,2,3,"finds this very challenging, slowly progressing"
Ironing,PL,2,5,"some interest, collaborated with group"
Trinomial Cube,S,2,2,"very loud about this, made comments. He is making many independent work choices and when
given a choice between two options"
Red Rods,S,2,6,"introduced and started tracing, found a partner and they helped each other to stick together and
walk with the group"
Brown Stair,S,2,5,"wrote several letters,  This exercise requires
an orderly set up, much physical movement and large
repetitive motions that will help prepare for writing"
Silence Game,S,2,5,"yes, great progress"
Thermic Bottles,S,2,3,"yes, continued to work on this"
Fabric Matching,S,2,2,"doing great, did by self several times throughout each day,  This has called for
restraint from both...they are practicing.
The warmer weather finally allowed for our first trips to
the playground. "
Baric Tablets,S,2,7,"not interested, put away. He is making many independent work choices and when
given a choice between two options"
Color Tablets,S,2,4,"finds this very challenging, slowly progressing"
Ten Boards,M,2,2,"some interest, collaborated with group,. He is making many independent work choices and when
given a choice between two options"
Addition Snake Game,M,2,7,"very loud about this, made comments. He is making many independent work choices and when
given a choice between two options"
Addition with bead bars,M,2,1,"introducted and started tracing. He is making many independent work choices and when
given a choice between two options"
Short bead stair,M,2,3,wrote several letters
