term1,term2,count
12,2,-2921
12,3,-3027
12,4,-3040
12,5,-2771
12,6,-2381
12,7,-2952
12,8,-2534
12,9,-2679
11,8,-5836
6,8,-11806
6,9,-10653
13,7,-83
10,6,-9929
10,7,-10452
10,4,-9260
10,5,-10876
10,2,-12059
1,2,-61
0,8,-24204
0,9,-11215
0,6,-16562
0,7,-20907
0,4,-18250
0,5,-15500
0,2,-20363
11,2,-5619
10,8,-12671
8,9,-9289
2,8,-19856
2,9,-12236
11,4,-4498
3,5,-9724
3,4,-10763
3,7,-12812
3,6,-11843
3,9,-9740
3,8,-13039
2,3,-11684
2,4,-15637
2,5,-14739
2,6,-12754
2,7,-21021
4,8,-27218
4,9,-12081
5,7,-13403
5,6,-12389
11,3,-1994
5,9,-11367
5,8,-12918
4,6,-17802
4,7,-31933
11,7,-3533
4,5,-13668
11,9,-1483
10,9,-5922
10,11,-1803
10,12,-425
6,7,-14733
11,6,-2286
0,10,-10752
0,11,-6935
0,12,-2981
7,8,-31525
0,3,-13536
7,9,-11000
11,5,-3177
10,3,-9168
