term1,term2,count
1,7,37777
1,6,15467
1,5,16147
1,4,13133
1,3,12124
1,2,11337
0,8,39698
0,9,40669
0,6,22116
0,7,19997
0,4,16101
0,5,34381
0,2,27735
0,3,13320
0,0,50
0,1,9857
4,8,14888
4,9,14821
5,7,18186
5,6,13887
5,9,21727
5,8,23478
4,6,15295
4,7,12936
4,5,18727
13,15,29349
13,14,11609
13,16,24314
8,9,34489
1,9,14198
1,8,16415
13,9,36982
13,8,36890
13,3,16495
13,2,32918
13,5,34763
13,4,19427
13,7,19912
13,6,21901
15,16,12504
11,9,22846
11,8,35652
11,7,13850
11,6,22845
11,5,23499
11,4,17864
11,3,15653
11,2,32080
2,8,34093
2,9,35137
3,5,13134
3,4,10236
3,7,15182
3,6,16831
3,9,16039
3,8,15787
2,3,11932
2,4,14822
2,5,17358
2,6,22086
2,7,16641
15,3,10857
15,2,8285
15,7,13388
15,6,19003
15,5,21536
15,4,18751
15,9,28458
15,8,31864
14,8,16199
14,9,13513
14,2,10788
14,3,15466
1,11,16134
1,10,14276
14,6,14061
1,16,14842
1,15,14490
1,14,37632
0,10,45848
0,11,32670
0,13,41967
0,14,11267
0,15,30734
0,16,24675
10,14,13291
7,9,13039
7,8,13539
6,7,12202
10,13,37690
6,8,19853
6,9,21179
10,6,22376
10,7,15267
10,4,17745
10,5,27829
10,2,39008
10,3,15849
14,15,16615
10,8,36249
10,9,24655
16,4,15096
16,5,23790
16,6,21102
16,7,15730
16,2,21132
16,3,15266
16,8,25080
16,9,20208
1,13,15697
14,16,15887
10,15,30144
10,16,24854
14,7,39140
14,4,13389
14,5,15455
10,11,24176
11,13,19925
11,16,23285
11,15,24724
11,14,11583
