term1,term2,count
13,9,167
13,8,142
6,7,152
8,9,24
11,9,139
13,2,4
13,5,53
13,4,1
13,6,54
10,6,21
10,7,154
10,5,1
1,3,156
1,2,4
0,8,4
11,8,94
11,7,149
11,6,14
0,4,101
0,5,1
0,2,162
0,3,156
0,0,1
0,1,158
2,8,3
2,9,9
10,16,1
3,4,154
3,7,6
3,6,2
3,9,1
3,8,2
2,3,156
2,4,156
2,5,2
2,6,1
15,3,3
15,2,8
4,8,110
5,7,59
5,6,155
15,7,2
5,9,2
5,8,63
4,6,107
4,7,92
4,5,155
16,5,1
14,9,9
13,16,12
14,2,1
6,8,117
7,9,158
10,9,151
10,11,133
14,4,1
6,9,155
10,13,190
0,10,43
0,13,2
0,14,5
10,8,46
15,16,175
13,14,150
13,15,3
11,13,146
10,2,45
11,5,4
11,14,137
7,8,174

