Timestamp,Device ID,RSSI
191222,0,75
191222,1,69
191222,2,65
191223,0,75
191223,1,69
191223,2,66
191224,0,76
191224,1,68
191224,2,66
191225,0,75
191225,1,68
191225,2,66
191226,0,75
191226,1,69
191226,2,66
191227,0,76
191227,1,70
191227,2,66
191228,0,75
191228,1,70
191228,2,66
191229,0,76
191229,1,70
191229,2,66
191230,0,75
191230,1,70
191230,2,66
191231,0,75
191231,1,69
191231,2,69
191232,0,73
191232,1,70
191232,2,70
191233,0,74
191233,1,70
191233,2,70
191234,0,76
191234,1,69
191234,2,70
191235,0,74
191235,1,70
191235,2,70
191236,0,72
191236,1,72
191236,2,70
191237,0,72
191237,1,72
191237,2,70
191238,0,72
191238,1,71
191238,2,65
191239,0,72
191239,1,69
191239,2,65
191240,0,72
191240,1,72
191240,2,66
191241,0,72
191241,1,69
191241,2,66
191242,0,72
191242,1,70
191242,2,66
191243,0,72
191243,1,70
191243,2,66
191244,0,72
191244,1,69
191244,2,66
191245,0,72
191245,1,69
191245,2,66
191246,0,72
191246,1,69
191246,2,66
191247,0,72
191247,1,68
191247,2,66
191248,0,72
191248,1,68
191248,2,66
191249,0,73
191249,1,68
191249,2,66
191250,0,72
191250,1,69
191250,2,66
191251,0,74
191251,1,69
191251,2,66
191252,0,75
191252,1,69
191252,2,66
191253,0,74
191253,1,70
191253,2,66
191254,0,75
191254,1,70
191254,2,66
191255,0,75
191255,1,70
191255,2,68
191256,0,75
191256,1,69
191256,2,69
191257,0,75
191257,1,70
191257,2,66
191258,0,76
191258,1,70
191258,2,66
191259,0,75
191259,1,69
191259,2,66
191300,0,75
191300,1,70
191300,2,66
191301,0,75
191301,1,70
191301,2,69
191302,0,76
191302,1,70
191302,2,69
191303,0,75
191303,1,70
191303,2,69
191304,0,72
191304,1,69
191304,2,70
191305,0,72
191305,1,70
191305,2,69
191306,0,72
191306,1,72
191306,2,65
191307,0,75
191307,1,68
191307,2,66
191308,0,72
191308,1,69
191308,2,66
191309,0,73
191309,1,69
191309,2,66
191310,0,73
191310,1,69
191310,2,66
191311,0,74
191311,1,69
191311,2,66
191312,0,75
191312,1,69
191312,2,66
191313,0,73
191313,1,69
191313,2,66
191314,0,73
191314,1,69
191314,2,66
191315,0,75
191315,1,69
191315,2,70
191316,0,76
191316,1,69
191316,2,65
191317,0,76
191317,1,69
191317,2,65
191318,0,76
191318,1,69
191318,2,64
191319,0,76
191319,1,69
191319,2,65
191320,0,76
191320,1,69
191320,2,65
191321,0,76
191321,1,69
191321,2,65
191322,0,75
191322,1,69
191322,2,65
191323,0,74
191323,1,69
191323,2,65
191324,0,75
191324,1,69
191324,2,66
191325,0,76
191325,1,69
191325,2,66
191326,0,72
191326,1,69
191326,2,66
191327,0,72
191327,1,69
191327,2,66
191328,0,72
191328,1,70
191328,2,66
191329,0,72
191329,1,68
191329,2,66
191330,0,72
191330,1,69
191330,2,66
191331,0,72
191331,1,68
191331,2,66
191332,0,72
191332,1,69
191332,2,69
191333,0,72
191333,1,68
191333,2,70
191334,0,72
191334,1,69
191334,2,70
191335,0,72
191335,1,68
191335,2,70
191336,0,72
191336,1,68
191336,2,70
191337,0,72
191337,1,68
191337,2,70
191338,0,72
191338,1,68
191338,2,70
191339,0,72
191339,1,68
191339,2,70
191340,0,72
191340,1,69
191340,2,71
191341,0,72
191341,1,69
191341,2,66
191342,0,74
191342,1,68
191342,2,66
191343,0,72
191343,1,69
191343,2,66
191344,0,73
191344,1,69
191344,2,66
191345,0,73
191345,1,69
191345,2,66
191346,0,73
191346,1,69
191346,2,66
191347,0,73
191347,1,69
191347,2,66
191348,0,73
191348,1,69
191348,2,66
191349,0,73
191349,1,69
191349,2,66
191350,0,74
191350,1,69
191350,2,69
191351,0,74
191351,1,70
191351,2,69
191352,0,73
191352,1,69
191352,2,69
191353,0,73
191353,1,69
191353,2,69
191354,0,73
191354,1,68
191354,2,69
191355,0,73
191355,1,69
191355,2,69
191356,0,73
191356,1,71
191356,2,70
191357,0,75
191357,1,71
191357,2,69
191358,0,75
191358,1,72
191358,2,69
191359,0,73
191359,1,72
191359,2,70
191400,0,73
191400,1,72
191400,2,70
191401,0,76
191401,1,72
191401,2,70
191402,0,72
191402,1,71
191402,2,70
191403,0,72
191403,1,69
191403,2,70
191404,0,72
191404,1,69
191404,2,70
191405,0,72
191405,1,69
191405,2,70
191406,0,72
191406,1,69
191406,2,70
191407,0,72
191407,1,69
191407,2,66
191408,0,72
191408,1,69
191408,2,66
191409,0,72
191409,1,69
191409,2,68
191410,0,72
191410,1,69
191410,2,69
191411,0,72
191411,1,69
191411,2,69
191412,0,72
191412,1,69
191412,2,70
191413,0,72
191413,1,68
191413,2,69
191414,0,72
191414,1,72
191414,2,69
191415,0,72
191415,1,70
191415,2,69
