Timestamp,Device ID,RSSI
193914,0,74
193914,1,79
193914,2,89
193915,0,72
193915,1,77
193915,2,87
193916,0,72
193916,1,78
193916,2,86
193917,0,72
193917,1,78
193917,2,87
193918,0,74
193918,1,83
193918,2,87
193919,0,82
193919,1,84
193919,2,90
193920,0,73
193920,1,83
193920,2,88
193921,0,75
193921,1,75
193921,2,91
193922,0,77
193922,1,79
193922,2,88
193923,0,82
193923,1,75
193923,2,91
193924,0,89
193924,1,75
193924,2,87
193925,0,87
193925,1,75
193925,2,87
193926,0,72
193926,1,75
193926,2,89
193927,0,72
193927,1,75
193927,2,90
193928,0,72
193928,1,75
193928,2,88
193929,0,72
193929,1,75
193929,2,89
193930,0,72
193930,1,75
193930,2,87
193931,0,72
193931,1,75
193931,2,86
193932,0,72
193932,1,75
193932,2,86
193933,0,72
193933,1,75
193933,2,89
193934,0,72
193934,1,75
193934,2,91
193935,0,72
193935,1,75
193935,2,87
193936,0,72
193936,1,75
193936,2,86
193937,0,72
193937,1,75
193937,2,89
193938,0,74
193938,1,75
193938,2,91
193939,0,83
193939,1,75
193939,2,88
193940,0,76
193940,1,75
193940,2,89
193941,0,72
193941,1,76
193941,2,86
193942,0,72
193942,1,75
193942,2,86
193943,0,72
193943,1,75
193943,2,86
193944,0,72
193944,1,75
193944,2,89
193945,0,72
193945,1,75
193945,2,85
193946,0,72
193946,1,75
193946,2,85
193947,0,72
193947,1,75
193947,2,86
193948,0,72
193948,1,84
193948,2,85
193949,0,72
193949,1,75
193949,2,87
193950,0,72
193950,1,75
193950,2,88
193951,0,72
193951,1,75
193951,2,86
193952,0,72
193952,1,75
193952,2,88
193953,0,72
193953,1,75
193953,2,89
193954,0,72
193954,1,75
193954,2,86
193955,0,76
193955,1,75
193955,2,91
193956,0,88
193956,1,75
193956,2,86
193957,0,89
193957,1,75
193957,2,87
193958,0,88
193958,1,75
193958,2,87
193959,0,75
193959,1,75
193959,2,89
194000,0,72
194000,1,75
194000,2,87
194001,0,72
194001,1,75
194001,2,86
194002,0,72
194002,1,76
194002,2,89
194003,0,72
194003,1,79
194003,2,90
194004,0,72
194004,1,78
194004,2,87
194005,0,72
194005,1,78
194005,2,87
194006,0,72
194006,1,79
194006,2,86
194007,0,72
194007,1,79
194007,2,86
194008,0,72
194008,1,79
194008,2,87
194009,0,72
194009,1,79
194009,2,87
194010,0,72
194010,1,79
194010,2,90
194011,0,72
194011,1,79
194011,2,87
194012,0,72
194012,1,79
194012,2,87
194013,0,82
194013,1,79
194013,2,87
194014,0,88
194014,1,79
194014,2,87
194015,0,88
194015,1,79
194015,2,87
194016,0,79
194016,1,82
194016,2,89
194017,0,72
194017,1,77
194017,2,86
194018,0,72
194018,1,79
194018,2,88
194019,0,72
194019,1,79
194019,2,88
194020,0,72
194020,1,79
194020,2,88
194021,0,72
194021,1,79
194021,2,86
194022,0,72
194022,1,79
194022,2,91
194023,0,72
194023,1,79
194023,2,90
194024,0,72
194024,1,79
194024,2,86
194025,0,72
194025,1,79
194025,2,86
194026,0,72
194026,1,79
194026,2,87
194027,0,72
194027,1,79
194027,2,86
194028,0,72
194028,1,79
194028,2,88
194029,0,72
194029,1,79
194029,2,86
194030,0,72
194030,1,79
194030,2,87
194031,0,76
194031,1,79
194031,2,89
194032,0,74
194032,1,83
194032,2,91
194033,0,74
194033,1,86
194033,2,86
194034,0,74
194034,1,82
194034,2,87
194035,0,79
194035,1,75
194035,2,91
194036,0,79
194036,1,75
194036,2,87
194037,0,82
194037,1,75
194037,2,86
194038,0,82
194038,1,75
194038,2,89
194039,0,87
194039,1,75
194039,2,86
194040,0,72
194040,1,76
194040,2,86
194041,0,72
194041,1,75
194041,2,86
194042,0,72
194042,1,75
194042,2,85
194043,0,72
194043,1,75
194043,2,85
194044,0,72
194044,1,75
194044,2,86
194045,0,72
194045,1,75
194045,2,88
194046,0,72
194046,1,76
194046,2,87
194047,0,72
194047,1,86
194047,2,86
194048,0,72
194048,1,78
194048,2,85
194049,0,72
194049,1,79
194049,2,86
194050,0,72
194050,1,79
194050,2,89
194051,0,72
194051,1,79
194051,2,90
194052,0,73
194052,1,79
194052,2,87
194053,0,74
194053,1,79
194053,2,86
194054,0,74
194054,1,79
194054,2,86
194055,0,74
194055,1,79
194055,2,86
194056,0,74
194056,1,79
194056,2,86
194057,0,74
194057,1,79
194057,2,86
194058,0,74
194058,1,79
194058,2,86
194059,0,73
194059,1,79
194059,2,86
194100,0,74
194100,1,79
194100,2,87
194101,0,74
194101,1,84
