Timestamp,Device ID,RSSI
200207,0,94
200207,1,89
200207,2,85
200208,0,87
200208,1,95
200208,2,78
200209,0,91
200209,1,92
200209,2,76
200210,0,90
200210,1,93
200210,2,76
200211,0,89
200211,1,92
200211,2,76
200212,0,90
200212,1,92
200212,2,76
200213,0,92
200213,1,91
200213,2,76
200214,0,91
200214,1,93
200214,2,79
200215,0,90
200215,1,92
200215,2,86
200216,0,91
200216,1,92
200216,2,88
200217,0,91
200217,1,92
200217,2,80
200218,0,90
200218,1,92
200218,2,76
200219,0,91
200219,1,92
200219,2,79
200220,0,91
200220,1,91
200220,2,81
200221,0,91
200221,1,91
200221,2,81
200222,0,91
200222,1,91
200222,2,82
200223,0,91
200223,1,91
200223,2,88
200224,0,91
200224,1,92
200224,2,86
200225,0,91
200225,1,91
200225,2,76
200226,0,91
200226,1,92
200226,2,77
200227,0,91
200227,1,92
200227,2,77
200228,0,91
200228,1,92
200228,2,77
200229,0,92
200229,1,91
200229,2,77
200230,0,91
200230,1,91
200230,2,77
200231,0,91
200231,1,91
200231,2,79
200232,0,91
200232,1,91
200232,2,81
200233,0,91
200233,1,91
200233,2,81
200234,0,91
200234,1,92
200234,2,81
200235,0,91
200235,1,92
200235,2,81
200236,0,91
200236,1,92
200236,2,82
200237,0,91
200237,1,92
200237,2,81
200238,0,91
200238,1,93
200238,2,81
200239,0,91
200239,1,91
200239,2,81
200240,0,91
200240,1,93
200240,2,81
200241,0,91
200241,1,92
200241,2,81
200242,0,91
200242,1,92
200242,2,81
200243,0,92
200243,1,91
200243,2,81
200244,0,91
200244,1,91
200244,2,81
200245,0,91
200245,1,92
200245,2,81
200246,0,91
200246,1,92
200246,2,81
200247,0,91
200247,1,92
200247,2,81
200248,0,91
200248,1,92
200248,2,81
200249,0,91
200249,1,91
200249,2,81
200250,0,91
200250,1,93
200250,2,81
200251,0,91
200251,1,92
200251,2,81
200252,0,91
200252,1,92
200252,2,81
200253,0,92
200253,1,91
200253,2,86
200254,0,92
200254,1,92
200254,2,88
200255,0,91
200255,1,92
200255,2,88
200256,0,91
200256,1,92
200256,2,80
200257,0,91
200257,1,92
200257,2,76
200258,0,91
200258,1,92
200258,2,77
200259,0,92
200259,1,92
200259,2,77
200300,0,91
200300,1,92
200300,2,78
200301,0,91
200301,1,93
200301,2,78
200302,0,91
200302,1,92
200302,2,77
200303,0,91
200303,1,93
200303,2,77
200304,0,91
200304,1,92
200304,2,77
200305,0,91
200305,1,92
200305,2,77
200306,0,91
200306,1,92
200306,2,77
200307,0,91
200307,1,92
200307,2,77
200308,0,91
200308,1,92
200308,2,81
200309,0,92
200309,1,92
200309,2,81
200310,0,91
200310,1,92
200310,2,83
200311,0,91
200311,1,92
200311,2,88
200312,0,91
200312,1,92
200312,2,80
200313,0,91
200313,1,93
200313,2,77
200314,0,91
200314,1,92
200314,2,81
200315,0,91
200315,1,92
200315,2,85
200316,0,91
200316,1,92
200316,2,88
200317,0,91
200317,1,91
200317,2,85
200318,0,91
200318,1,91
200318,2,77
200319,0,92
200319,1,92
200319,2,77
200320,0,91
200320,1,92
200320,2,77
200321,0,91
200321,1,91
200321,2,77
200322,0,91
200322,1,92
200322,2,77
200323,0,91
200323,1,93
200323,2,77
200324,0,91
200324,1,91
200324,2,77
200325,0,91
200325,1,92
200325,2,77
200326,0,91
200326,1,92
200326,2,77
200327,0,91
200327,1,92
200327,2,77
200328,0,91
200328,1,91
200328,2,77
200329,0,92
200329,1,92
200329,2,82
200330,0,91
200330,1,91
200330,2,78
200331,0,91
200331,1,92
200331,2,81
200332,0,91
200332,1,92
200332,2,81
200333,0,91
200333,1,93
200333,2,77
200334,0,91
200334,1,92
200334,2,77
200335,0,91
200335,1,91
200335,2,81
200336,0,91
200336,1,92
200336,2,81
200337,0,91
200337,1,91
200337,2,86
200338,0,91
200338,1,93
200338,2,82
200339,0,91
200339,1,93
200339,2,77
200340,0,91
200340,1,92
