Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6,DEVICE7
22:32:01,-128,-128,-128,-128,-128,-128,-128,-128
22:32:03,-81,-92,-80,-83,-83,-128,-85,-79
22:32:05,-82,-83,-79,-85,-82,-81,-84,-78
22:32:07,-80,-81,-81,-84,-81,-81,-83,-79
22:32:09,-82,-79,-82,-88,-78,-80,-82,-80
22:32:11,-79,-81,-83,-86,-81,-83,-84,-81
22:32:13,-81,-81,-82,-87,-77,-80,-82,-81
22:32:15,-76,-81,-82,-87,-84,-79,-83,-83
22:32:17,-76,-82,-83,-87,-82,-78,-82,-83
22:32:19,-81,-81,-83,-88,-82,-84,-85,-83
22:32:21,-79,-79,-83,-88,-79,-84,-84,-83
22:32:23,-79,-80,-83,-88,-84,-85,-86,-83
22:32:25,-78,-85,-82,-88,-87,-82,-81,-82
22:32:27,-76,-80,-82,-88,-81,-83,-82,-83
22:32:29,-79,-85,-82,-88,-81,-84,-82,-82
22:32:31,-77,-80,-82,-88,-78,-82,-82,-83
22:32:33,-78,-80,-82,-88,-82,-82,-83,-84
22:32:35,-78,-79,-83,-88,-79,-77,-80,-82
22:32:37,-77,-81,-83,-89,-83,-83,-82,-82
22:32:39,-78,-85,-82,-86,-83,-82,-83,-81
22:32:41,-75,-83,-84,-87,-83,-84,-82,-79
22:32:43,-80,-84,-83,-89,-80,-83,-83,-83
22:32:45,-78,-85,-84,-90,-86,-83,-83,-83
22:32:47,-80,-86,-85,-90,-81,-84,-84,-84
22:32:49,-77,-85,-85,-91,-84,-86,-84,-83
22:32:51,-77,-84,-83,-91,-83,-84,-83,-83
22:32:53,-78,-84,-83,-91,-83,-86,-83,-83
22:32:55,-82,-85,-85,-91,-85,-81,-82,-84
22:32:57,-80,-84,-84,-90,-81,-84,-83,-83
22:32:59,-77,-86,-84,-90,-81,-82,-83,-82
22:33:01,-80,-86,-83,-89,-82,-82,-84,-81
22:33:03,-79,-86,-83,-88,-86,-84,-81,-81
22:33:05,-78,-86,-83,-89,-81,-82,-82,-82
22:33:07,-80,-85,-84,-90,-84,-83,-83,-83
22:33:09,-79,-84,-82,-90,-80,-82,-83,-82
22:33:11,-81,-84,-83,-90,-80,-82,-83,-84
22:33:13,-79,-86,-82,-90,-79,-84,-83,-84
22:33:15,-77,-84,-84,-90,-79,-82,-83,-83
22:33:17,-78,-85,-82,-90,-78,-86,-82,-81
22:33:19,-75,-85,-79,-90,-78,-81,-82,-82
22:33:21,-73,-83,-81,-88,-82,-83,-81,-80
22:33:23,-73,-82,-83,-89,-78,-82,-83,-81
22:33:25,-77,-82,-82,-88,-83,-82,-81,-81
22:33:27,-78,-87,-83,-88,-84,-84,-83,-80
22:33:29,-78,-83,-82,-89,-81,-81,-81,-82
22:33:31,-79,-84,-82,-89,-79,-81,-83,-82
22:33:33,-78,-87,-83,-90,-80,-83,-83,-83
22:33:35,-74,-85,-82,-90,-78,-82,-82,-82
22:33:37,-74,-83,-85,-88,-81,-81,-81,-81
22:33:39,-75,-87,-83,-89,-79,-82,-81,-81
22:33:41,-76,-87,-82,-90,-79,-81,-84,-84
22:33:43,-78,-86,-84,-89,-86,-82,-82,-83
22:33:45,-78,-86,-82,-90,-84,-85,-82,-84
22:33:47,-76,-85,-81,-89,-80,-82,-83,-82
22:33:49,-74,-84,-81,-90,-82,-82,-85,-82
22:33:51,-76,-83,-85,-89,-83,-81,-84,-83
22:33:53,-76,-84,-84,-89,-79,-83,-83,-83
22:33:55,-76,-85,-83,-90,-80,-84,-82,-83
22:33:57,-77,-86,-81,-89,-85,-81,-82,-84
22:33:59,-81,-82,-83,-89,-80,-84,-81,-82
22:34:01,-77,-82,-81,-90,-83,-85,-82,-82
22:34:03,-79,-82,-79,-87,-82,-82,-83,-79
22:34:05,-80,-83,-80,-88,-80,-84,-83,-80
22:34:07,-81,-84,-82,-89,-78,-86,-86,-80
22:34:09,-79,-82,-79,-87,-78,-81,-85,-80
22:34:11,-78,-82,-82,-86,-80,-81,-81,-80
22:34:13,-75,-81,-83,-88,-80,-85,-81,-80
22:34:15,-74,-85,-82,-87,-81,-79,-81,-80
22:34:17,-77,-87,-82,-89,-85,-88,-81,-82
22:34:19,-75,-83,-86,-89,-83,-85,-82,-81
22:34:21,-77,-84,-80,-90,-78,-85,-81,-82
22:34:23,-75,-80,-81,-87,-75,-81,-81,-79
22:34:25,-74,-81,-81,-87,-77,-85,-80,-80
22:34:27,-73,-82,-82,-86,-82,-84,-81,-80
22:34:29,-74,-85,-81,-88,-76,-85,-82,-81
22:34:31,-80,-80,-78,-85,-83,-80,-78,-80
