Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6,DEVICE7
22:16:19,-128,-128,-128,-128,-128,-128,-128,-128
22:16:19,-80,-86,-79,-87,-80,-80,-82,-84
22:16:20,-71,-84,-82,-88,-77,-76,-88,-85
22:16:20,-76,-81,-128,-87,-128,-80,-89,-77
22:16:21,-74,-83,-80,-87,-78,-77,-84,-78
22:16:21,-77,-81,-75,-89,-84,-79,-79,-81
22:16:22,-76,-85,-77,-91,-81,-80,-82,-81
22:16:22,-76,-83,-83,-92,-83,-78,-84,-78
22:16:23,-70,-83,-77,-90,-75,-73,-87,-85
22:16:23,-76,-81,-85,-90,-85,-78,-85,-83
22:16:24,-71,-80,-90,-88,-75,-79,-85,-81
22:16:24,-70,-81,-90,-90,-86,-77,-84,-89
22:16:25,-86,-83,-82,-91,-86,-77,-84,-78
22:16:25,-78,-82,-78,-87,-86,-77,-78,-75
22:16:26,-80,-81,-75,-86,-81,-78,-78,-82
22:16:26,-72,-83,-75,-88,-74,-78,-77,-85
22:16:27,-74,-82,-74,-83,-88,-78,-85,-76
22:16:27,-70,-80,-75,-85,-80,-78,-88,-84
22:16:28,-79,-81,-77,-84,-83,-78,-91,-85
22:16:28,-84,-81,-75,-85,-82,-77,-85,-84
22:16:29,-86,-81,-75,-82,-76,-77,-89,-80
22:16:29,-71,-80,-76,-85,-76,-77,-85,-80
22:16:30,-80,-79,-75,-83,-85,-78,-85,-79
22:16:30,-82,-79,-75,-84,-83,-78,-78,-128
22:16:31,-73,-82,-75,-88,-77,-78,-89,-86
22:16:31,-79,-81,-75,-87,-89,-73,-86,-83
22:16:32,-83,-82,-75,-86,-84,-76,-78,-76
22:16:32,-82,-81,-75,-87,-85,-77,-79,-84
22:16:33,-81,-81,-75,-87,-77,-77,-86,-82
22:16:33,-72,-83,-75,-88,-81,-79,-88,-74
22:16:34,-70,-83,-75,-89,-88,-78,-84,-89
22:16:34,-83,-81,-75,-88,-83,-77,-88,-76
22:16:35,-74,-81,-79,-90,-84,-77,-88,-76
22:16:35,-74,-82,-81,-88,-83,-76,-85,-77
22:16:36,-80,-83,-75,-89,-84,-78,-86,-82
22:16:36,-79,-82,-75,-91,-84,-76,-128,-128
22:16:37,-79,-82,-76,-87,-76,-74,-128,-128
22:16:37,-82,-82,-76,-92,-76,-78,-128,-128
22:16:38,-75,-128,-75,-90,-82,-75,-128,-128
22:16:38,-75,-128,-75,-88,-76,-73,-128,-128
22:16:39,-70,-128,-74,-88,-76,-79,-128,-128
22:16:39,-71,-128,-85,-89,-78,-78,-128,-128
22:16:40,-80,-128,-76,-89,-80,-77,-128,-128
22:16:40,-79,-128,-82,-128,-128,-78,-128,-128
22:16:41,-81,-128,-75,-128,-128,-78,-128,-128
22:16:41,-81,-81,-75,-128,-128,-79,-128,-128
22:16:42,-76,-128,-75,-128,-128,-78,-128,-76
22:16:42,-72,-80,-87,-128,-85,-75,-128,-128
22:16:43,-75,-79,-128,-128,-128,-80,-128,-128
22:16:43,-85,-79,-128,-128,-128,-78,-128,-128
22:16:44,-80,-84,-128,-128,-85,-77,-128,-128
22:16:44,-79,-83,-128,-128,-78,-79,-86,-128
22:16:45,-80,-84,-86,-88,-75,-78,-87,-79
22:16:45,-81,-84,-76,-89,-76,-80,-86,-76
22:16:46,-83,-82,-76,-89,-76,-80,-85,-87
22:16:46,-83,-84,-75,-90,-78,-79,-85,-87
22:16:47,-87,-83,-75,-89,-77,-80,-85,-75
22:16:47,-69,-83,-75,-87,-80,-80,-83,-74
22:16:48,-87,-82,-76,-86,-76,-79,-85,-83
22:16:48,-81,-86,-74,-90,-75,-80,-82,-82
22:16:49,-80,-84,-86,-89,-75,-79,-80,-74
22:16:49,-81,-82,-88,-90,-75,-76,-84,-89
22:16:50,-80,-81,-74,-91,-75,-80,-81,-84
22:16:50,-70,-81,-82,-90,-75,-80,-86,-75
22:16:51,-69,-80,-75,-89,-75,-79,-84,-85
22:16:51,-70,-82,-74,-90,-75,-78,-83,-75
22:16:52,-69,-84,-75,-128,-75,-128,-83,-86
22:16:52,-72,-85,-77,-90,-82,-79,-85,-80
22:16:53,-80,-84,-86,-89,-83,-78,-87,-75
22:16:53,-80,-85,-75,-90,-83,-79,-88,-84
22:16:54,-80,-85,-81,-88,-83,-77,-84,-85
22:16:54,-70,-85,-74,-92,-82,-79,-83,-75
22:16:55,-70,-82,-83,-89,-76,-80,-82,-84
22:16:55,-69,-83,-74,-89,-75,-73,-82,-86
22:16:56,-70,-86,-75,-88,-75,-80,-86,-75
22:16:56,-70,-85,-74,-88,-76,-80,-84,-81
22:16:57,-70,-85,-74,-88,-75,-79,-80,-84
22:16:57,-70,-85,-75,-88,-76,-79,-89,-75
22:16:58,-69,-86,-74,-88,-75,-78,-87,-84
22:16:58,-70,-84,-75,-89,-75,-79,-88,-75
22:16:59,-70,-86,-75,-89,-75,-75,-86,-75
22:16:59,-70,-86,-80,-86,-76,-73,-86,-84
22:17:00,-70,-85,-84,-88,-75,-73,-85,-85
22:17:00,-83,-83,-83,-85,-75,-73,-86,-76
22:17:01,-70,-84,-88,-85,-75,-72,-87,-87
22:17:01,-70,-80,-85,-83,-75,-72,-84,-78
22:17:02,-71,-81,-85,-82,-83,-73,-87,-77
22:17:02,-70,-80,-77,-83,-87,-73,-82,-83
22:17:03,-82,-80,-87,-82,-89,-73,-80,-75
22:17:03,-78,-78,-88,-83,-86,-73,-78,-79
22:17:04,-77,-79,-88,-84,-79,-72,-78,-82
22:17:04,-70,-84,-77,-85,-81,-79,-79,-78
22:17:05,-82,-82,-77,-85,-85,-78,-80,-76
22:17:05,-71,-82,-77,-84,-90,-78,-80,-81
22:17:06,-80,-85,-77,-84,-86,-78,-85,-81
22:17:06,-81,-81,-78,-85,-76,-75,-80,-80
22:17:07,-80,-82,-78,-87,-76,-79,-80,-81
22:17:07,-80,-84,-84,-86,-76,-79,-80,-81
22:17:08,-71,-81,-85,-86,-78,-79,-81,-83
22:17:08,-71,-83,-86,-87,-78,-78,-80,-77
22:17:09,-71,-83,-86,-84,-77,-75,-79,-83
22:17:09,-71,-84,-77,-85,-76,-77,-79,-78
22:17:10,-71,-81,-78,-83,-75,-72,-78,-84
22:17:10,-71,-82,-78,-87,-75,-80,-79,-82
22:17:11,-72,-84,-86,-84,-86,-76,-80,-77
22:17:11,-80,-82,-78,-84,-76,-77,-79,-83
22:17:12,-73,-80,-78,-87,-77,-78,-80,-78
22:17:12,-71,-80,-79,-86,-85,-76,-80,-82
22:17:13,-71,-80,-78,-85,-84,-75,-79,-78
22:17:13,-71,-83,-78,-86,-78,-76,-80,-82
22:17:14,-71,-85,-78,-89,-76,-75,-79,-77
22:17:14,-71,-82,-78,-85,-75,-75,-79,-81
22:17:15,-71,-82,-82,-84,-76,-75,-79,-84
22:17:15,-70,-82,-85,-87,-76,-75,-88,-78
