Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6,DEVICE7
22:20:55,-128,-128,-128,-128,-128,-128,-128,-128
22:20:55,-81,-84,-86,-81,-86,-86,-85,-85
22:20:56,-92,-87,-82,-86,-84,-85,-86,-80
22:20:56,-74,-85,-79,-77,-78,-86,-84,-76
22:20:57,-83,-85,-88,-88,-84,-84,-86,-80
22:20:57,-80,-84,-128,-80,-84,-85,-85,-77
22:20:58,-91,-85,-128,-128,-128,-128,-84,-80
22:20:58,-74,-84,-128,-128,-128,-85,-86,-76
22:20:59,-79,-81,-128,-85,-128,-84,-86,-77
22:20:59,-80,-92,-86,-84,-86,-87,-86,-76
22:21:00,-90,-87,-81,-86,-86,-88,-86,-81
22:21:00,-91,-83,-87,-84,-76,-86,-87,-73
22:21:01,-91,-83,-88,-86,-86,-88,-87,-72
22:21:01,-73,-81,-87,-85,-84,-84,-85,-88
22:21:02,-73,-81,-78,-84,-78,-85,-84,-76
22:21:02,-74,-85,-78,-86,-78,-87,-86,-70
22:21:03,-73,-87,-78,-86,-78,-86,-84,-71
22:21:03,-74,-81,-78,-82,-85,-88,-87,-71
22:21:04,-90,-87,-78,-86,-84,-84,-86,-70
22:21:04,-90,-86,-78,-80,-84,-86,-84,-82
22:21:05,-90,-90,-78,-77,-85,-86,-86,-70
22:21:05,-80,-88,-78,-77,-84,-88,-84,-70
22:21:06,-81,-87,-82,-77,-85,-90,-87,-71
22:21:06,-84,-86,-88,-77,-85,-85,-86,-79
22:21:07,-74,-88,-78,-77,-85,-89,-85,-82
22:21:07,-73,-88,-79,-77,-84,-86,-86,-76
22:21:08,-73,-86,-78,-77,-84,-86,-86,-76
22:21:08,-74,-86,-78,-77,-84,-86,-86,-76
22:21:09,-74,-86,-88,-85,-83,-86,-87,-76
22:21:09,-74,-85,-87,-77,-85,-87,-86,-77
22:21:10,-74,-88,-87,-86,-84,-87,-87,-80
22:21:10,-91,-86,-88,-86,-84,-86,-84,-81
22:21:11,-75,-82,-87,-78,-84,-89,-82,-81
22:21:11,-90,-83,-78,-78,-83,-87,-82,-82
22:21:12,-86,-83,-79,-79,-89,-86,-83,-83
22:21:12,-83,-87,-80,-79,-90,-90,-83,-81
22:21:13,-75,-89,-79,-78,-86,-84,-84,-84
22:21:13,-75,-85,-80,-78,-87,-85,-84,-83
22:21:14,-82,-85,-80,-78,-83,-85,-86,-79
22:21:14,-76,-86,-82,-85,-84,-84,-88,-78
22:21:15,-75,-87,-83,-82,-88,-85,-87,-78
22:21:15,-76,-82,-87,-78,-86,-90,-89,-78
22:21:16,-88,-87,-84,-81,-86,-84,-88,-79
22:21:16,-75,-88,-80,-86,-82,-88,-85,-80
22:21:17,-75,-87,-86,-87,-78,-84,-87,-72
22:21:17,-85,-88,-85,-87,-78,-87,-85,-77
22:21:18,-88,-87,-86,-87,-79,-86,-86,-77
22:21:18,-88,-83,-86,-85,-78,-85,-84,-75
22:21:19,-82,-86,-86,-82,-77,-87,-82,-81
22:21:19,-75,-84,-85,-82,-77,-85,-82,-81
22:21:20,-79,-84,-79,-83,-78,-86,-83,-83
22:21:20,-86,-85,-86,-82,-78,-87,-84,-78
22:21:21,-87,-83,-86,-78,-83,-86,-82,-75
22:21:21,-86,-83,-87,-83,-84,-85,-83,-76
22:21:22,-86,-87,-88,-81,-82,-85,-87,-86
22:21:22,-86,-84,-88,-79,-86,-86,-83,-79
22:21:23,-87,-83,-88,-79,-85,-88,-87,-80
22:21:23,-87,-82,-78,-78,-84,-84,-83,-78
22:21:24,-78,-82,-88,-78,-87,-85,-87,-78
22:21:24,-75,-83,-89,-78,-89,-87,-86,-71
22:21:25,-79,-88,-85,-81,-83,-87,-86,-71
22:21:25,-85,-87,-78,-80,-86,-86,-87,-81
22:21:26,-75,-83,-79,-82,-86,-88,-88,-79
22:21:26,-75,-84,-79,-86,-84,-89,-83,-72
22:21:27,-75,-85,-78,-81,-84,-84,-83,-79
22:21:27,-75,-87,-79,-78,-84,-84,-86,-78
22:21:28,-89,-89,-87,-87,-84,-87,-89,-71
22:21:28,-75,-89,-88,-85,-84,-88,-87,-80
22:21:29,-84,-89,-80,-84,-85,-88,-86,-82
22:21:29,-85,-88,-84,-84,-85,-88,-88,-71
22:21:30,-87,-82,-87,-83,-84,-89,-85,-79
22:21:30,-74,-85,-85,-83,-82,-86,-87,-84
22:21:31,-75,-86,-86,-83,-90,-85,-88,-70
22:21:31,-75,-84,-88,-85,-78,-84,-89,-78
22:21:32,-74,-85,-81,-86,-85,-85,-87,-85
22:21:32,-73,-86,-78,-85,-83,-90,-87,-70
22:21:33,-74,-84,-87,-78,-86,-90,-84,-77
22:21:33,-74,-83,-88,-84,-78,-86,-84,-83
22:21:34,-90,-83,-86,-90,-77,-84,-86,-78
22:21:34,-90,-83,-86,-84,-84,-84,-87,-70
22:21:35,-84,-87,-88,-86,-85,-84,-87,-76
22:21:35,-74,-85,-78,-128,-82,-86,-87,-79
22:21:36,-75,-84,-88,-128,-128,-85,-81,-78
