Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6,DEVICE7
1446661851.183494,-65,-52,-67,-65,-69,-58,-65,-58
1446661853.712799,-64,-52,-67,-65,-68,-58,-65,-58
1446661856.226152,-64,-52,-67,-65,-68,-58,-65,-58
1446661858.739551,-67,-52,-67,-67,-68,-58,-65,-58
1446661861.253112,-64,-53,-67,-68,-63,-58,-65,-58
1446661863.782256,-65,-52,-67,-71,-64,-59,-65,-58
1446661866.296,-65,-53,-67,-68,-64,-59,-66,-58
1446661868.809292,-65,-52,-68,-66,-64,-58,-65,-58
1446661871.322783,-65,-52,-68,-67,-64,-58,-65,-59
1446661873.852094,-65,-52,-68,-66,-64,-59,-65,-58
1446661876.365475,-65,-52,-68,-67,-64,-58,-65,-58
1446661878.878817,-65,-52,-68,-66,-64,-58,-65,-58
1446661881.392331,-65,-52,-68,-65,-64,-58,-65,-58
1446661883.921561,-65,-52,-67,-65,-64,-58,-65,-58
1446661886.43529,-65,-53,-68,-65,-64,-58,-65,-59
1446661888.948629,-65,-53,-66,-65,-63,-58,-65,-59
1446661891.477943,-65,-53,-66,-65,-62,-58,-65,-59
1446661893.991359,-65,-55,-66,-65,-62,-58,-65,-59
1446661896.504704,-64,-56,-67,-65,-62,-58,-65,-59
1446661899.018203,-64,-56,-68,-65,-62,-58,-65,-59
1446661901.547591,-64,-56,-68,-65,-62,-58,-65,-59
1446661904.061191,-65,-56,-67,-65,-62,-58,-65,-59
1446661906.574466,-67,-56,-67,-65,-62,-58,-65,-59
1446661909.088114,-66,-56,-67,-65,-62,-58,-65,-59
1446661911.601379,-67,-56,-67,-65,-62,-59,-65,-60
1446661914.130639,-67,-56,-68,-65,-63,-58,-65,-62
1446661916.644163,-66,-56,-67,-65,-69,-58,-65,-62
1446661919.157476,-66,-56,-68,-65,-69,-58,-65,-62
1446661921.670948,-67,-56,-67,-66,-69,-59,-65,-62
1446661924.200243,-68,-56,-68,-65,-69,-59,-65,-62
1446661926.713634,-67,-56,-68,-65,-69,-58,-65,-62
1446661929.227042,-65,-56,-68,-66,-69,-59,-65,-62
1446661931.740652,-60,-56,-68,-65,-68,-59,-65,-62
1446661934.269878,-61,-56,-68,-66,-68,-57,-65,-62
1446661936.783479,-61,-56,-68,-66,-68,-57,-65,-62
1446661939.296761,-61,-56,-68,-66,-68,-57,-65,-65
1446661941.810311,-61,-56,-68,-66,-68,-57,-65,-65
1446661944.339641,-61,-56,-68,-66,-64,-57,-65,-64
1446661946.853166,-64,-56,-68,-67,-63,-57,-58,-57
1446661949.366501,-65,-56,-68,-67,-64,-55,-56,-58
1446661951.879909,-65,-56,-68,-67,-64,-59,-57,-57
1446661954.409126,-65,-56,-69,-67,-64,-65,-57,-57
1446661956.922701,-65,-56,-69,-67,-63,-62,-57,-57
1446661959.436178,-64,-56,-68,-68,-62,-60,-57,-57
1446661961.949695,-65,-56,-68,-70,-62,-60,-57,-57
1446661964.479077,-65,-56,-68,-68,-62,-60,-57,-57
1446661966.992331,-63,-56,-68,-66,-62,-60,-57,-57
1446661969.505808,-63,-56,-66,-66,-62,-60,-57,-57
1446661972.01922,-64,-56,-65,-67,-62,-60,-57,-58
1446661974.54865,-66,-56,-65,-66,-62,-60,-57,-57
1446661977.061912,-66,-55,-65,-66,-64,-60,-57,-58
1446661979.575359,-66,-56,-66,-66,-69,-60,-57,-58
1446661982.104743,-66,-56,-65,-66,-69,-60,-57,-58
1446661984.618098,-66,-56,-65,-66,-69,-60,-57,-58
1446661987.131468,-66,-56,-65,-67,-69,-60,-57,-57
1446661989.644928,-66,-56,-67,-67,-69,-60,-57,-57
1446661992.174289,-66,-56,-68,-66,-69,-60,-57,-57
1446661994.687692,-66,-56,-68,-66,-68,-60,-57,-58
1446661997.20108,-67,-56,-68,-67,-68,-60,-57,-58
1446661999.714607,-67,-56,-68,-66,-68,-60,-57,-58
1446662002.22799,-66,-56,-68,-66,-68,-60,-57,-58
1446662004.757042,-66,-56,-69,-66,-68,-59,-57,-58
1446662007.270443,-67,-57,-68,-66,-69,-59,-57,-58
1446662009.783915,-66,-57,-69,-66,-69,-58,-57,-58
1446662012.297352,-66,-57,-69,-66,-69,-58,-57,-58
1446662014.826526,-66,-57,-67,-66,-69,-59,-57,-57
1446662017.340096,-67,-57,-66,-66,-69,-59,-57,-57
1446662019.853433,-67,-56,-68,-66,-68,-58,-57,-58
1446662022.36694,-66,-56,-68,-66,-68,-59,-57,-58
1446662024.896308,-67,-57,-67,-66,-69,-58,-57,-57
1446662027.409602,-67,-57,-67,-66,-69,-57,-57,-58
1446662029.922978,-67,-55,-67,-66,-68,-59,-58,-57
1446662032.436577,-67,-53,-67,-66,-68,-60,-59,-58
1446662034.965819,-62,-53,-67,-66,-68,-60,-58,-57
1446662037.479323,-61,-53,-67,-66,-63,-60,-58,-58
1446662039.992782,-60,-53,-67,-66,-62,-60,-59,-58
1446662042.506213,-61,-53,-67,-70,-62,-60,-59,-58
1446662045.03557,-60,-52,-67,-70,-62,-60,-59,-58
1446662047.549039,-60,-53,-67,-70,-62,-60,-59,-58
1446662050.062371,-60,-53,-67,-68,-62,-60,-59,-59
1446662052.576119,-60,-53,-67,-67,-62,-60,-59,-58
1446662055.105132,-60,-53,-67,-67,-62,-59,-59,-58
1446662057.6186,-60,-52,-67,-67,-62,-58,-59,-58
1446662060.131993,-60,-53,-67,-67,-62,-56,-59,-58
1446662062.645595,-60,-52,-67,-67,-62,-57,-59,-59
1446662065.174792,-62,-53,-67,-67,-62,-65,-58,-59
1446662067.688256,-65,-53,-67,-67,-62,-65,-59,-59
1446662070.201617,-65,-52,-67,-66,-62,-65,-59,-59
1446662072.715089,-65,-53,-67,-67,-62,-65,-59,-59
1446662075.244567,-65,-53,-67,-67,-62,-65,-62,-59
1446662077.757736,-65,-53,-67,-67,-62,-65,-62,-59
1446662080.271026,-64,-53,-67,-67,-62,-65,-62,-59
1446662082.784602,-65,-53,-67,-66,-62,-65,-62,-59
1446662085.298012,-64,-53,-67,-67,-62,-65,-62,-59
1446662087.827264,-63,-53,-67,-67,-62,-65,-62,-59
1446662090.340708,-64,-53,-67,-66,-62,-65,-62,-59
1446662092.854251,-64,-53,-67,-65,-62,-65,-62,-59
1446662095.367687,-64,-53,-67,-65,-62,-65,-62,-59
1446662097.896967,-64,-53,-67,-65,-62,-65,-62,-60
1446662100.410369,-67,-53,-67,-65,-62,-65,-62,-62
1446662102.923913,-67,-53,-67,-65,-62,-65,-62,-64
1446662105.437539,-67,-53,-67,-65,-62,-65,-62,-65
1446662107.96662,-67,-53,-67,-65,-62,-65,-62,-65
1446662110.480067,-67,-53,-68,-65,-62,-65,-62,-65
1446662112.9937,-68,-53,-68,-65,-62,-65,-62,-65
1446662115.50705,-67,-53,-67,-65,-62,-65,-62,-65
1446662118.020513,-67,-53,-68,-65,-62,-65,-62,-65
1446662120.549761,-67,-53,-68,-65,-62,-65,-62,-65
1446662123.063263,-67,-53,-67,-65,-62,-65,-62,-65
1446662125.576703,-67,-53,-67,-65,-62,-65,-62,-65
1446662128.090134,-67,-53,-67,-65,-62,-65,-62,-65
1446662130.61944,-67,-53,-68,-65,-62,-65,-63,-65
1446662133.132968,-67,-53,-68,-65,-62,-65,-65,-65
1446662135.6465,-67,-52,-67,-65,-62,-65,-65,-65
1446662138.175797,-67,-52,-67,-65,-62,-65,-65,-65
1446662140.689443,-67,-52,-67,-65,-63,-65,-65,-65
1446662143.202616,-67,-52,-68,-65,-64,-65,-65,-65
1446662145.716108,-67,-52,-68,-65,-63,-65,-65,-65
1446662148.22962,-67,-53,-68,-65,-64,-65,-65,-65
1446662150.758785,-67,-56,-67,-65,-64,-65,-65,-65
1446662153.272294,-67,-56,-67,-65,-64,-65,-65,-62
1446662155.785882,-68,-56,-67,-65,-64,-65,-65,-57
1446662158.299336,-67,-56,-67,-65,-64,-65,-65,-57
1446662160.828643,-67,-56,-66,-65,-64,-65,-65,-57
1446662163.342091,-68,-56,-66,-66,-62,-65,-65,-57
1446662165.855416,-67,-56,-65,-69,-62,-65,-65,-58
1446662168.36874,-67,-56,-66,-70,-62,-65,-65,-58
1446662170.882158,-67,-56,-66,-71,-62,-65,-63,-58
1446662173.411574,-65,-56,-65,-71,-62,-65,-57,-58
1446662175.925009,-64,-56,-65,-71,-61,-65,-57,-58
