Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6,DEVICE7
1446662744.469974,-72,-75,-77,-71,-72,-84,-74,-70
1446662746.999249,-72,-71,-76,-71,-73,-85,-74,-70
1446662749.512678,-72,-71,-77,-71,-73,-85,-74,-70
1446662752.026292,-73,-71,-76,-71,-73,-85,-75,-70
1446662754.539741,-73,-71,-76,-70,-73,-73,-75,-70
1446662757.053046,-73,-71,-77,-71,-73,-68,-74,-69
1446662759.582307,-73,-71,-77,-71,-73,-69,-75,-69
1446662762.09587,-73,-71,-89,-79,-72,-68,-75,-69
1446662764.609274,-73,-71,-83,-80,-73,-68,-75,-69
1446662767.122825,-73,-72,-89,-76,-73,-68,-74,-69
1446662769.636046,-72,-71,-89,-71,-73,-68,-74,-70
1446662772.165246,-71,-72,-78,-71,-73,-68,-74,-73
1446662774.678852,-72,-72,-78,-71,-83,-69,-69,-73
1446662777.192187,-73,-71,-78,-74,-72,-73,-69,-72
1446662779.705738,-72,-72,-77,-81,-72,-73,-74,-72
1446662782.235039,-72,-71,-77,-74,-72,-74,-74,-73
1446662784.748444,-72,-71,-77,-70,-72,-74,-74,-73
1446662787.26192,-72,-71,-76,-71,-73,-74,-75,-72
1446662789.775211,-72,-69,-76,-71,-73,-75,-75,-70
1446662792.304654,-71,-71,-76,-70,-73,-74,-75,-69
1446662794.818276,-72,-75,-78,-71,-73,-75,-75,-69
1446662797.331643,-72,-75,-78,-70,-73,-75,-75,-69
1446662799.860921,-74,-75,-77,-79,-73,-74,-75,-69
1446662802.374455,-74,-75,-77,-77,-73,-74,-69,-69
1446662804.887709,-73,-74,-81,-79,-73,-74,-72,-69
1446662807.401353,-72,-75,-82,-78,-73,-69,-72,-70
1446662809.930491,-71,-75,-80,-77,-73,-69,-72,-69
1446662812.443897,-72,-75,-78,-77,-73,-69,-72,-69
1446662814.957451,-72,-75,-78,-76,-73,-72,-71,-69
1446662817.470994,-71,-71,-76,-76,-73,-83,-71,-69
1446662820.000247,-72,-71,-76,-76,-73,-83,-73,-69
1446662822.513562,-72,-71,-76,-80,-73,-83,-73,-69
1446662825.027121,-72,-71,-79,-82,-73,-84,-71,-69
1446662827.54049,-72,-71,-89,-81,-73,-67,-71,-69
1446662830.06987,-74,-71,-80,-75,-72,-72,-71,-69
1446662832.583348,-74,-71,-81,-73,-73,-72,-71,-69
1446662835.096637,-74,-71,-83,-80,-80,-69,-71,-69
1446662837.610065,-75,-71,-83,-81,-71,-69,-71,-69
1446662840.139446,-74,-70,-84,-80,-70,-69,-71,-69
1446662842.65285,-75,-70,-80,-79,-71,-69,-71,-69
1446662845.166297,-75,-70,-77,-79,-70,-69,-71,-71
1446662847.679783,-75,-70,-79,-81,-70,-67,-71,-71
1446662850.208957,-74,-70,-79,-82,-78,-68,-72,-75
1446662852.72243,-74,-70,-77,-81,-71,-68,-73,-80
1446662855.235736,-74,-70,-76,-81,-70,-68,-73,-78
1446662857.74926,-74,-69,-77,-82,-70,-68,-74,-73
1446662860.278574,-74,-70,-78,-83,-71,-69,-75,-73
1446662862.791877,-74,-71,-78,-82,-71,-75,-74,-72
1446662865.305291,-74,-72,-85,-81,-71,-75,-73,-73
