Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6,DEVICE7
1446663409.06054,-85,-74,-75,-75,-84,-81,-83,-68
1446663411.589866,-85,-72,-79,-76,-77,-81,-84,-68
1446663414.103337,-86,-71,-80,-75,-77,-80,-84,-68
1446663416.616752,-86,-71,-81,-76,-75,-78,-86,-68
1446663419.130217,-86,-71,-81,-75,-75,-81,-75,-68
1446663421.643713,-85,-71,-81,-75,-82,-83,-74,-68
1446663424.172994,-84,-71,-83,-76,-89,-80,-75,-68
1446663426.686448,-84,-71,-83,-77,-85,-81,-75,-68
1446663429.199831,-77,-78,-83,-80,-79,-82,-75,-68
1446663431.713308,-69,-74,-82,-80,-77,-81,-75,-68
1446663434.242648,-69,-78,-82,-81,-76,-76,-79,-68
1446663436.756029,-69,-72,-81,-81,-85,-76,-82,-68
1446663439.26946,-69,-71,-79,-80,-85,-75,-86,-67
1446663441.78295,-69,-71,-80,-81,-84,-76,-85,-67
1446663444.312256,-68,-87,-79,-82,-83,-74,-84,-67
1446663446.82572,-68,-79,-80,-82,-79,-73,-86,-67
1446663449.33924,-68,-74,-79,-81,-86,-74,-84,-67
1446663451.852557,-68,-71,-79,-81,-87,-74,-85,-67
1446663454.381793,-68,-71,-80,-82,-86,-74,-82,-67
1446663456.895246,-68,-71,-81,-82,-86,-75,-75,-67
1446663459.409268,-68,-71,-82,-82,-87,-75,-74,-67
1446663461.922461,-68,-72,-81,-82,-88,-75,-74,-67
1446663464.451664,-68,-71,-73,-82,-89,-75,-74,-67
1446663466.965169,-69,-72,-73,-82,-89,-75,-74,-67
1446663469.478729,-69,-71,-79,-82,-88,-75,-74,-67
1446663471.992205,-70,-84,-81,-81,-79,-75,-74,-68
1446663474.521476,-85,-73,-82,-82,-79,-74,-81,-69
1446663477.03485,-88,-72,-81,-82,-81,-74,-86,-69
1446663479.548311,-87,-72,-81,-88,-80,-74,-85,-69
1446663482.061907,-87,-72,-81,-75,-79,-74,-79,-69
1446663484.591152,-69,-71,-90,-75,-80,-82,-81,-69
1446663487.104683,-69,-90,-77,-75,-82,-84,-81,-69
1446663489.618216,-69,-90,-81,-75,-86,-81,-81,-69
1446663492.13164,-69,-85,-81,-75,-86,-75,-83,-69
1446663494.660985,-69,-74,-81,-74,-84,-74,-83,-69
1446663497.174535,-69,-71,-75,-74,-86,-74,-83,-69
1446663499.687976,-69,-71,-75,-75,-84,-76,-78,-68
1446663502.20137,-80,-71,-81,-75,-80,-86,-75,-68
1446663504.714817,-87,-71,-81,-74,-79,-81,-75,-68
1446663507.244053,-88,-71,-82,-75,-78,-80,-75,-69
1446663509.757564,-86,-71,-83,-74,-79,-79,-75,-69
1446663512.271175,-85,-71,-81,-74,-79,-74,-83,-68
1446663514.784443,-86,-71,-86,-78,-79,-73,-76,-68
1446663517.313833,-85,-71,-73,-82,-79,-74,-79,-68
1446663519.82739,-83,-71,-73,-82,-79,-74,-79,-68
1446663522.340677,-69,-71,-73,-81,-81,-74,-84,-68
1446663524.854217,-69,-87,-73,-81,-89,-74,-85,-68
1446663527.383657,-69,-88,-83,-83,-79,-74,-76,-68
1446663529.897002,-76,-74,-77,-80,-85,-74,-75,-68
1446663532.41059,-86,-71,-73,-75,-83,-74,-75,-71
1446663534.923974,-85,-71,-73,-75,-84,-74,-75,-71
1446663537.453206,-70,-71,-73,-81,-79,-74,-75,-71
1446663539.966649,-69,-71,-80,-81,-79,-74,-82,-70
1446663542.480264,-69,-71,-83,-81,-79,-74,-84,-71
1446663544.993512,-69,-71,-83,-81,-79,-74,-84,-71
1446663547.507095,-69,-71,-83,-81,-79,-74,-72,-70
1446663550.03633,-69,-71,-85,-82,-79,-74,-75,-69
1446663552.549863,-69,-71,-77,-74,-79,-74,-75,-69
1446663555.06332,-69,-71,-72,-74,-78,-82,-81,-68
1446663557.576857,-69,-71,-72,-74,-77,-78,-83,-69
1446663560.106086,-69,-71,-72,-75,-78,-78,-85,-68
1446663562.619628,-69,-71,-72,-74,-78,-79,-85,-69
1446663565.133169,-69,-71,-76,-74,-78,-79,-85,-68
1446663567.646553,-71,-71,-80,-74,-78,-79,-84,-68
1446663570.175876,-71,-71,-80,-74,-78,-79,-84,-68
1446663572.689274,-71,-71,-81,-74,-78,-79,-85,-68
1446663575.202825,-82,-71,-81,-74,-77,-81,-82,-68
1446663577.716305,-68,-70,-78,-74,-77,-80,-72,-68
1446663580.229838,-69,-70,-83,-80,-77,-81,-80,-68
