Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6,DEVICE7
1446664113.564225,-77,-88,-81,-90,-84,-78,-70,-76
1446664116.093481,-75,-87,-81,-90,-85,-75,-70,-76
1446664118.606939,-75,-88,-79,-89,-86,-79,-70,-74
1446664121.120353,-77,-76,-78,-83,-84,-80,-70,-74
1446664123.63386,-80,-77,-75,-81,-81,-84,-70,-71
1446664126.147318,-81,-74,-75,-81,-89,-81,-71,-71
1446664128.676702,-80,-82,-74,-82,-82,-87,-72,-71
1446664131.190128,-79,-80,-75,-88,-86,-78,-82,-73
1446664133.703505,-80,-76,-75,-81,-86,-71,-80,-73
1446664136.217068,-78,-77,-76,-79,-84,-72,-82,-73
1446664138.74627,-79,-77,-75,-90,-86,-71,-81,-73
1446664141.259622,-74,-78,-86,-88,-86,-72,-82,-74
1446664143.773206,-74,-79,-73,-86,-86,-73,-82,-73
1446664146.286701,-74,-81,-73,-79,-88,-71,-81,-73
1446664148.800272,-77,-80,-73,-82,-89,-72,-83,-74
1446664151.329392,-83,-85,-73,-88,-89,-71,-78,-73
1446664153.842886,-79,-86,-74,-87,-86,-72,-73,-73
1446664156.356469,-79,-85,-74,-88,-87,-72,-76,-73
1446664158.869883,-80,-87,-74,-88,-86,-72,-81,-71
1446664161.383253,-79,-86,-74,-88,-87,-72,-81,-75
1446664163.912639,-81,-86,-73,-89,-89,-73,-79,-75
1446664166.426221,-78,-87,-74,-89,-87,-76,-79,-73
1446664168.939518,-76,-87,-75,-89,-88,-79,-79,-74
1446664171.452966,-73,-84,-75,-88,-88,-82,-79,-73
1446664173.982374,-72,-78,-75,-88,-89,-72,-79,-71
1446664176.495788,-72,-76,-78,-86,-87,-71,-71,-71
1446664179.009312,-72,-77,-76,-79,-90,-72,-78,-73
1446664181.523017,-72,-78,-76,-79,-90,-71,-80,-73
1446664184.052136,-72,-77,-77,-79,-88,-71,-81,-73
1446664186.565532,-78,-76,-77,-80,-87,-71,-79,-73
1446664189.079027,-78,-78,-76,-88,-88,-71,-79,-73
1446664191.59247,-74,-83,-76,-92,-85,-71,-80,-73
1446664194.121727,-74,-83,-81,-90,-87,-71,-77,-73
1446664196.635263,-75,-81,-81,-84,-88,-71,-81,-72
1446664199.148848,-75,-82,-80,-81,-86,-72,-80,-73
1446664201.662323,-75,-84,-74,-85,-85,-77,-81,-74
1446664204.191577,-74,-84,-74,-89,-85,-77,-81,-73
1446664206.705245,-78,-86,-74,-89,-85,-77,-80,-73
1446664209.218596,-80,-76,-74,-85,-85,-77,-80,-73
1446664211.732064,-79,-75,-74,-88,-85,-77,-79,-73
1446664214.261399,-78,-75,-74,-88,-86,-77,-80,-73
1446664216.774935,-77,-76,-75,-90,-82,-78,-81,-73
1446664219.28834,-72,-75,-75,-90,-88,-78,-81,-73
1446664221.801873,-72,-75,-75,-85,-87,-79,-81,-73
1446664224.31518,-72,-75,-78,-84,-87,-79,-80,-73
1446664226.844407,-72,-84,-73,-85,-87,-79,-80,-73
1446664229.357949,-73,-87,-73,-85,-87,-79,-81,-74
1446664231.871334,-75,-77,-74,-85,-87,-83,-80,-73
1446664234.384828,-74,-75,-75,-84,-87,-71,-80,-73
1446664236.914169,-75,-75,-75,-84,-87,-71,-80,-73
1446664239.427625,-74,-75,-75,-84,-87,-71,-80,-73
1446664241.941042,-73,-76,-75,-83,-87,-72,-80,-73
1446664244.454569,-73,-75,-75,-83,-87,-71,-79,-73
1446664246.96799,-74,-76,-75,-86,-88,-71,-80,-73
1446664249.497246,-75,-76,-75,-87,-89,-74,-80,-72
1446664252.010776,-75,-75,-75,-88,-82,-79,-79,-73
1446664254.524261,-75,-88,-75,-88,-83,-72,-72,-73
1446664257.037601,-76,-74,-75,-90,-83,-72,-78,-73
1446664259.566975,-75,-74,-77,-89,-79,-74,-78,-73
1446664262.080534,-75,-74,-83,-88,-87,-79,-78,-71
1446664264.594001,-75,-74,-92,-89,-81,-79,-71,-71
1446664267.123204,-73,-76,-76,-91,-86,-79,-84,-71
1446664269.636919,-73,-75,-73,-90,-86,-79,-83,-71
