Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6,DEVICE7
1446664688.805623,-78,-88,-72,-79,-81,-78,-85,-74
1446664691.334903,-80,-87,-73,-78,-82,-77,-81,-74
1446664693.848424,-80,-83,-74,-80,-81,-77,-87,-74
1446664696.361812,-80,-87,-74,-81,-82,-78,-86,-76
1446664698.875377,-80,-88,-74,-80,-83,-77,-82,-76
1446664701.404594,-79,-84,-74,-80,-86,-76,-77,-76
1446664703.91802,-80,-83,-74,-80,-84,-77,-85,-75
1446664706.431478,-80,-83,-74,-80,-82,-78,-86,-75
1446664708.945002,-80,-83,-73,-80,-82,-78,-87,-76
1446664711.474198,-82,-84,-72,-80,-81,-78,-87,-75
1446664713.98763,-77,-84,-72,-80,-81,-79,-87,-75
1446664716.501013,-76,-82,-73,-81,-88,-79,-76,-76
1446664719.014564,-77,-84,-73,-79,-85,-75,-82,-75
1446664721.528041,-76,-89,-76,-79,-84,-75,-81,-73
1446664724.05729,-76,-83,-75,-79,-84,-75,-80,-74
1446664726.570586,-77,-83,-76,-79,-85,-74,-79,-75
1446664729.084194,-77,-85,-77,-79,-84,-75,-76,-76
1446664731.597714,-78,-86,-78,-79,-84,-75,-78,-72
1446664734.126788,-77,-84,-76,-79,-87,-75,-81,-71
1446664736.640231,-82,-83,-75,-80,-86,-77,-79,-70
1446664739.153737,-80,-82,-76,-80,-82,-81,-79,-71
1446664741.667162,-81,-83,-75,-81,-81,-83,-78,-71
1446664744.196508,-83,-83,-74,-81,-81,-76,-79,-75
1446664746.709899,-77,-82,-75,-81,-81,-75,-79,-75
1446664749.223471,-76,-84,-75,-84,-81,-76,-80,-75
1446664751.736966,-77,-83,-76,-80,-81,-76,-80,-75
1446664754.250328,-79,-84,-76,-80,-81,-76,-79,-75
1446664756.779574,-78,-84,-75,-80,-83,-78,-75,-74
1446664759.293244,-81,-86,-75,-82,-87,-76,-77,-75
1446664761.806508,-84,-84,-75,-87,-86,-76,-75,-75
1446664764.319978,-76,-88,-75,-82,-84,-76,-84,-75
1446664766.849152,-75,-89,-75,-87,-79,-76,-83,-75
1446664769.362719,-75,-80,-75,-86,-80,-76,-75,-75
1446664771.876144,-75,-88,-75,-80,-80,-76,-76,-75
1446664774.389483,-75,-86,-76,-79,-80,-75,-77,-88
1446664776.91885,-76,-87,-75,-79,-79,-74,-80,-80
1446664779.43231,-76,-82,-74,-80,-79,-74,-80,-70
1446664781.945833,-76,-86,-75,-79,-79,-76,-80,-71
1446664784.459213,-75,-86,-74,-79,-79,-75,-82,-71
1446664786.988561,-75,-84,-74,-79,-89,-75,-79,-71
1446664789.502106,-75,-80,-73,-79,-85,-74,-78,-71
1446664792.015631,-75,-80,-73,-79,-83,-75,-79,-71
1446664794.529016,-75,-82,-74,-79,-79,-75,-77,-71
1446664797.058356,-76,-87,-78,-79,-80,-75,-78,-71
1446664799.571901,-76,-83,-80,-79,-80,-75,-79,-74
1446664802.085454,-77,-86,-73,-79,-81,-74,-78,-74
1446664804.598775,-77,-88,-76,-81,-85,-74,-82,-74
1446664807.128088,-75,-81,-74,-80,-83,-75,-89,-74
1446664809.641681,-74,-84,-74,-80,-87,-78,-84,-75
1446664812.155094,-75,-81,-73,-79,-84,-78,-79,-75
1446664814.684281,-76,-84,-74,-80,-85,-76,-78,-75
1446664817.197846,-77,-83,-83,-80,-85,-79,-76,-83
1446664819.711256,-78,-84,-74,-82,-81,-83,-79,-81
1446664822.224638,-77,-85,-75,-83,-82,-74,-80,-71
1446664824.738287,-79,-85,-76,-84,-86,-75,-77,-71
1446664827.267542,-79,-82,-76,-82,-82,-74,-89,-75
