Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6,DEVICE7
1446666583.547915,-82,-88,-79,-83,-82,-75,-86,-77
1446666586.061411,-86,-91,-79,-82,-82,-75,-85,-78
1446666588.590746,-85,-89,-79,-82,-81,-75,-87,-77
1446666591.104268,-73,-91,-79,-82,-81,-75,-86,-77
1446666593.617626,-73,-90,-78,-82,-85,-75,-86,-77
1446666596.131176,-73,-89,-69,-76,-84,-75,-83,-77
1446666598.660477,-73,-90,-69,-76,-80,-75,-84,-77
1446666601.174002,-73,-91,-69,-76,-81,-89,-84,-78
1446666603.687684,-72,-89,-69,-76,-81,-82,-85,-78
1446666606.200906,-72,-87,-69,-75,-80,-74,-85,-79
1446666608.714403,-72,-88,-68,-75,-79,-74,-86,-78
1446666611.2436,-72,-90,-68,-75,-80,-75,-85,-79
1446666613.757083,-72,-89,-68,-75,-80,-74,-86,-79
1446666616.27051,-73,-88,-69,-75,-81,-73,-87,-78
1446666618.784072,-73,-87,-68,-74,-82,-73,-86,-78
1446666621.313596,-73,-87,-69,-80,-81,-75,-85,-78
1446666623.826724,-73,-87,-69,-81,-81,-75,-85,-78
1446666626.340173,-73,-87,-69,-81,-81,-75,-83,-78
1446666628.853526,-78,-87,-69,-82,-82,-75,-79,-78
1446666631.382721,-85,-88,-68,-82,-82,-74,-86,-78
1446666633.896191,-77,-87,-68,-83,-83,-75,-86,-78
1446666636.409726,-72,-87,-68,-82,-82,-74,-86,-78
1446666638.923196,-72,-88,-68,-79,-81,-74,-86,-84
1446666641.452504,-72,-88,-68,-75,-80,-74,-81,-83
1446666643.965838,-72,-88,-68,-75,-80,-74,-78,-83
1446666646.479378,-73,-91,-68,-76,-80,-73,-82,-83
1446666648.992719,-79,-90,-69,-75,-79,-73,-85,-83
1446666651.522016,-83,-90,-68,-75,-78,-74,-85,-83
1446666654.035471,-84,-90,-68,-75,-77,-75,-85,-83
1446666656.548907,-89,-90,-68,-75,-77,-74,-85,-82
1446666659.0782,-88,-87,-69,-75,-78,-75,-86,-80
1446666661.59167,-75,-88,-69,-74,-79,-75,-86,-79
1446666664.105166,-73,-90,-69,-73,-79,-75,-86,-78
1446666666.618624,-73,-88,-68,-73,-79,-75,-83,-78
1446666669.148072,-80,-87,-68,-73,-79,-75,-85,-79
1446666671.661462,-85,-87,-70,-77,-79,-75,-84,-78
1446666674.174894,-86,-86,-71,-78,-79,-75,-84,-79
1446666676.688365,-87,-87,-74,-79,-79,-74,-84,-84
1446666679.217817,-80,-86,-82,-77,-79,-74,-85,-83
1446666681.731061,-72,-87,-83,-75,-79,-75,-83,-84
1446666684.244623,-73,-87,-82,-75,-79,-75,-84,-79
1446666686.758075,-73,-92,-79,-74,-79,-75,-84,-78
1446666689.287309,-73,-92,-78,-74,-79,-74,-84,-78
1446666691.800833,-73,-90,-77,-74,-79,-75,-83,-82
1446666694.314189,-73,-89,-78,-73,-79,-74,-84,-83
1446666696.827817,-73,-90,-78,-73,-79,-79,-84,-83
1446666699.341251,-73,-89,-78,-73,-81,-87,-85,-84
1446666701.870535,-73,-92,-75,-74,-80,-88,-85,-84
1446666704.384079,-73,-88,-68,-73,-81,-88,-79,-78
1446666706.897468,-73,-87,-68,-79,-83,-76,-83,-78
1446666709.410887,-80,-88,-68,-80,-82,-74,-84,-78
1446666711.940145,-85,-90,-68,-82,-82,-74,-85,-77
1446666714.453648,-80,-87,-68,-75,-81,-75,-87,-79
1446666716.967236,-73,-86,-68,-74,-79,-75,-83,-84
1446666719.480633,-72,-87,-68,-73,-79,-75,-84,-84
1446666722.009918,-73,-87,-68,-73,-79,-74,-85,-83
1446666724.523398,-73,-92,-68,-79,-84,-82,-84,-83
1446666727.037069,-73,-88,-68,-80,-80,-86,-83,-83
1446666729.550465,-73,-87,-68,-80,-81,-87,-84,-84
1446666732.079799,-73,-87,-68,-80,-81,-85,-83,-83
1446666734.59346,-73,-86,-69,-80,-81,-74,-83,-83
1446666737.106642,-73,-87,-68,-79,-80,-74,-83,-82
1446666739.620125,-73,-87,-69,-80,-79,-88,-84,-82
1446666742.149587,-73,-87,-70,-86,-79,-78,-84,-82
1446666744.662881,-72,-87,-71,-85,-79,-73,-84,-82
1446666747.176517,-73,-88,-71,-81,-79,-73,-83,-84
1446666749.689856,-73,-88,-71,-76,-79,-74,-83,-79
1446666752.219205,-73,-90,-81,-75,-80,-74,-83,-79
1446666754.732714,-74,-91,-78,-76,-81,-74,-83,-79
1446666757.246056,-85,-91,-78,-81,-82,-74,-85,-79
1446666759.759641,-86,-87,-78,-81,-82,-74,-86,-78
1446666762.273103,-87,-88,-77,-82,-81,-74,-85,-77
1446666764.786373,-86,-89,-78,-82,-78,-74,-85,-76
1446666767.315909,-75,-89,-79,-82,-79,-75,-84,-82
1446666769.829312,-73,-89,-78,-83,-80,-74,-85,-84
1446666772.342565,-73,-88,-78,-80,-80,-74,-85,-84
