Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6,DEVICE7
1446667231.080109,-80,-78,-82,-78,-78,-78,-86,-87
1446667233.609372,-76,-78,-84,-78,-77,-78,-86,-87
1446667236.122869,-71,-77,-86,-84,-77,-79,-89,-87
1446667238.636299,-72,-77,-88,-87,-77,-79,-85,-90
1446667241.149962,-72,-76,-87,-87,-76,-79,-82,-87
1446667243.663372,-72,-83,-88,-87,-77,-79,-83,-84
1446667246.19262,-72,-86,-90,-88,-77,-79,-84,-83
1446667248.706375,-72,-77,-90,-85,-80,-82,-92,-84
1446667251.219509,-72,-77,-89,-88,-90,-82,-87,-85
1446667253.73301,-72,-77,-90,-76,-82,-82,-86,-88
1446667256.262432,-71,-78,-86,-76,-90,-83,-82,-84
1446667258.775713,-71,-76,-79,-76,-75,-83,-84,-84
1446667261.289296,-72,-76,-75,-76,-75,-83,-86,-87
1446667263.802674,-72,-83,-78,-76,-75,-83,-83,-87
1446667266.331968,-73,-85,-78,-76,-75,-81,-85,-87
1446667268.845439,-73,-87,-75,-76,-76,-80,-84,-89
1446667271.359192,-78,-82,-76,-77,-77,-78,-87,-87
1446667273.872377,-87,-85,-80,-78,-88,-80,-84,-89
1446667276.402054,-86,-84,-80,-78,-88,-79,-83,-89
1446667278.915158,-84,-83,-81,-77,-81,-79,-83,-83
1446667281.428643,-85,-82,-88,-77,-75,-79,-85,-80
1446667283.942461,-84,-79,-82,-77,-75,-79,-84,-79
1446667286.455639,-88,-80,-88,-76,-76,-78,-88,-79
1446667288.985021,-74,-80,-81,-77,-75,-79,-89,-79
1446667291.498671,-72,-79,-79,-81,-76,-78,-84,-80
1446667294.011909,-82,-78,-77,-87,-76,-78,-88,-79
1446667296.525493,-73,-79,-77,-86,-77,-78,-90,-80
1446667299.054778,-72,-79,-76,-86,-77,-78,-82,-81
1446667301.568179,-73,-80,-75,-86,-77,-77,-89,-80
1446667304.081753,-72,-82,-76,-89,-77,-78,-87,-82
1446667306.595042,-74,-85,-77,-86,-78,-79,-85,-81
1446667309.108481,-73,-78,-76,-76,-82,-82,-81,-81
1446667311.63786,-74,-77,-74,-85,-82,-83,-83,-87
1446667314.151246,-73,-77,-73,-76,-81,-85,-82,-89
1446667316.664754,-74,-77,-73,-75,-82,-83,-81,-90
1446667319.178296,-74,-79,-78,-76,-82,-79,-87,-84
1446667321.707555,-85,-77,-92,-76,-88,-79,-88,-85
1446667324.221173,-88,-84,-84,-75,-85,-81,-87,-86
1446667326.734586,-80,-83,-81,-77,-83,-79,-83,-87
1446667329.247981,-78,-80,-74,-76,-82,-80,-86,-87
1446667331.777303,-83,-85,-75,-76,-86,-83,-84,-88
1446667334.290843,-73,-85,-74,-76,-86,-82,-86,-88
1446667336.804163,-72,-83,-77,-77,-76,-79,-86,-86
1446667339.317636,-72,-83,-77,-83,-76,-78,-86,-86
1446667341.846891,-72,-83,-76,-77,-78,-78,-86,-86
1446667344.360211,-72,-83,-76,-77,-79,-79,-86,-86
1446667346.873713,-72,-83,-76,-77,-79,-79,-86,-86
1446667349.387322,-71,-83,-76,-77,-79,-79,-87,-86
1446667351.916502,-72,-83,-76,-77,-88,-79,-85,-86
1446667354.430054,-72,-82,-80,-77,-75,-78,-82,-86
1446667356.943434,-71,-82,-87,-77,-76,-77,-82,-86
1446667359.456954,-71,-82,-87,-77,-77,-78,-82,-85
1446667361.986235,-71,-82,-83,-77,-79,-78,-82,-86
1446667364.49964,-71,-84,-81,-77,-79,-79,-82,-88
1446667367.013247,-72,-83,-80,-77,-78,-79,-81,-85
1446667369.526675,-73,-83,-80,-77,-75,-79,-81,-85
1446667372.055972,-85,-83,-82,-77,-75,-79,-82,-85
1446667374.56938,-73,-83,-81,-77,-75,-79,-81,-86
1446667377.082994,-71,-83,-77,-81,-85,-79,-84,-84
1446667379.596455,-72,-83,-76,-86,-76,-79,-85,-85
1446667382.125695,-72,-83,-77,-87,-76,-79,-86,-85
1446667384.639231,-76,-79,-75,-87,-79,-81,-86,-83
1446667387.152723,-71,-82,-78,-86,-77,-83,-83,-85
1446667389.666194,-72,-80,-77,-86,-78,-85,-80,-84
1446667392.179611,-71,-80,-75,-86,-78,-84,-80,-84
1446667394.708985,-73,-82,-84,-86,-78,-83,-80,-85
1446667397.222283,-73,-82,-78,-86,-79,-78,-82,-84
1446667399.735724,-81,-83,-78,-87,-79,-78,-83,-85
1446667402.249141,-73,-82,-78,-87,-79,-80,-90,-86
1446667404.778506,-72,-82,-79,-87,-78,-80,-86,-83
1446667407.292105,-71,-82,-79,-87,-77,-81,-80,-82
