Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6,DEVICE7
1446663129.512407,-82,-73,-80,-85,-78,-79,-76,-83
1446663132.02589,-83,-73,-84,-84,-86,-79,-79,-84
1446663134.555243,-83,-73,-84,-84,-80,-79,-79,-76
1446663137.068692,-84,-73,-84,-84,-78,-79,-71,-75
1446663139.582205,-82,-73,-84,-83,-76,-79,-69,-86
1446663142.095625,-71,-73,-83,-79,-77,-79,-69,-85
1446663144.609206,-71,-73,-83,-77,-76,-79,-69,-85
1446663147.138354,-71,-73,-83,-77,-76,-74,-71,-84
1446663149.651994,-71,-73,-77,-78,-86,-73,-75,-83
1446663152.165501,-71,-73,-80,-78,-81,-73,-75,-83
1446663154.678896,-70,-79,-85,-78,-82,-71,-76,-80
1446663157.208308,-71,-79,-75,-79,-82,-67,-76,-75
1446663159.721808,-71,-79,-81,-78,-82,-67,-75,-75
1446663162.235244,-71,-79,-81,-78,-82,-67,-78,-76
1446663164.74884,-71,-79,-81,-78,-82,-67,-80,-75
1446663167.278139,-76,-79,-82,-78,-82,-67,-80,-75
1446663169.791639,-80,-75,-84,-77,-80,-67,-80,-75
1446663172.30508,-81,-73,-84,-80,-78,-67,-80,-76
1446663174.834594,-81,-73,-85,-83,-78,-67,-80,-84
1446663177.347872,-80,-75,-84,-84,-78,-67,-74,-84
1446663179.861364,-82,-73,-84,-84,-78,-67,-77,-78
1446663182.374898,-80,-78,-84,-84,-78,-67,-77,-76
1446663184.888528,-71,-79,-84,-81,-78,-73,-76,-81
1446663187.417691,-77,-79,-79,-83,-78,-83,-76,-83
1446663189.931238,-79,-78,-82,-83,-78,-73,-78,-84
1446663192.444645,-79,-78,-76,-84,-90,-72,-79,-83
1446663194.958033,-79,-78,-84,-83,-80,-68,-80,-83
1446663197.487332,-79,-78,-87,-84,-80,-67,-80,-83
1446663200.000965,-79,-79,-77,-84,-79,-67,-80,-84
1446663202.514486,-80,-79,-75,-84,-86,-67,-79,-84
1446663205.043631,-79,-79,-75,-82,-76,-67,-79,-84
1446663207.557181,-80,-79,-83,-78,-76,-67,-80,-84
1446663210.070785,-86,-75,-84,-77,-76,-67,-80,-85
1446663212.584197,-93,-73,-86,-78,-76,-68,-70,-85
1446663215.097632,-71,-72,-83,-79,-75,-68,-69,-85
1446663217.626808,-71,-72,-79,-83,-76,-67,-69,-84
1446663220.140423,-70,-72,-83,-83,-76,-67,-69,-82
1446663222.653705,-70,-73,-75,-82,-79,-67,-70,-81
1446663225.167339,-70,-73,-76,-82,-85,-67,-70,-84
1446663227.696629,-70,-73,-79,-84,-75,-67,-70,-83
1446663230.21006,-70,-74,-86,-84,-75,-67,-70,-83
1446663232.723474,-70,-80,-87,-82,-79,-67,-70,-83
1446663235.236982,-71,-80,-76,-87,-85,-67,-70,-83
1446663237.750393,-71,-78,-74,-85,-75,-67,-79,-82
1446663240.27983,-71,-78,-75,-84,-75,-68,-81,-82
1446663242.793225,-70,-76,-80,-84,-75,-77,-82,-84
1446663245.306891,-70,-73,-81,-84,-75,-79,-82,-84
1446663247.820295,-70,-73,-83,-86,-75,-69,-71,-82
1446663250.349484,-70,-73,-87,-86,-83,-67,-69,-83
