Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6,DEVICE7
1446665668.010372,-74,-70,-73,-84,-87,-78,-71,-84
1446665670.523759,-73,-71,-73,-84,-89,-85,-72,-75
1446665673.052957,-78,-73,-73,-83,-87,-84,-72,-79
1446665675.566334,-75,-72,-73,-83,-89,-84,-72,-75
1446665678.079916,-74,-72,-72,-75,-91,-83,-75,-71
1446665680.593233,-75,-71,-73,-76,-87,-84,-75,-74
1446665683.122699,-78,-72,-75,-76,-88,-83,-75,-79
1446665685.635936,-75,-72,-75,-78,-89,-83,-76,-73
1446665688.14954,-77,-71,-72,-78,-88,-81,-75,-72
1446665690.662937,-76,-87,-72,-78,-86,-80,-75,-73
1446665693.192135,-75,-88,-71,-83,-87,-81,-75,-73
1446665695.705704,-75,-90,-71,-83,-86,-82,-75,-73
1446665698.21914,-79,-78,-72,-85,-86,-81,-75,-72
1446665700.732505,-77,-77,-72,-84,-84,-81,-75,-72
1446665703.261862,-78,-77,-73,-83,-86,-76,-75,-73
1446665705.775337,-78,-78,-73,-78,-86,-75,-76,-72
1446665708.288907,-78,-79,-73,-78,-85,-77,-75,-72
1446665710.802289,-77,-78,-73,-78,-88,-82,-75,-84
1446665713.331496,-76,-86,-73,-77,-88,-81,-75,-77
1446665715.844885,-78,-72,-73,-75,-91,-83,-75,-76
1446665718.358312,-78,-72,-73,-75,-82,-83,-77,-76
1446665720.871844,-78,-85,-73,-77,-88,-87,-73,-74
1446665723.385175,-76,-85,-73,-81,-89,-89,-71,-76
1446665725.914545,-76,-86,-73,-82,-84,-87,-71,-75
1446665728.428062,-80,-74,-73,-83,-87,-76,-71,-75
1446665730.941426,-77,-72,-73,-82,-88,-86,-71,-77
1446665733.455046,-77,-72,-74,-83,-88,-87,-71,-78
1446665735.984237,-76,-81,-73,-81,-87,-82,-71,-76
1446665738.497617,-77,-82,-73,-81,-86,-81,-71,-75
1446665741.011018,-75,-85,-73,-81,-88,-79,-71,-75
1446665743.524644,-75,-71,-73,-82,-90,-84,-71,-73
1446665746.053879,-75,-71,-73,-82,-89,-87,-72,-72
1446665748.567333,-75,-80,-73,-85,-85,-85,-72,-72
1446665751.080658,-75,-83,-74,-84,-87,-82,-71,-73
1446665753.594075,-76,-86,-73,-83,-86,-79,-72,-73
1446665756.123302,-77,-76,-73,-86,-87,-84,-71,-74
1446665758.636851,-76,-71,-73,-85,-86,-86,-72,-73
1446665761.150176,-74,-72,-73,-83,-87,-84,-72,-72
1446665763.663769,-74,-71,-73,-84,-88,-84,-71,-79
1446665766.19299,-76,-71,-73,-84,-87,-85,-71,-83
1446665768.706349,-88,-71,-72,-83,-89,-84,-71,-77
1446665771.219756,-86,-71,-73,-83,-89,-84,-72,-76
1446665773.733241,-75,-78,-73,-83,-90,-85,-71,-76
1446665776.262362,-73,-79,-73,-83,-90,-83,-72,-76
1446665778.775771,-74,-79,-83,-83,-90,-87,-71,-76
1446665781.289255,-74,-79,-84,-83,-89,-82,-71,-77
1446665783.802732,-76,-81,-88,-78,-88,-79,-71,-78
1446665786.331959,-75,-79,-82,-76,-88,-85,-75,-77
1446665788.84539,-70,-78,-73,-75,-90,-86,-76,-73
1446665791.35887,-70,-79,-73,-80,-89,-80,-71,-73
1446665793.872302,-70,-78,-73,-75,-89,-88,-71,-73
1446665796.401447,-83,-79,-74,-77,-89,-89,-71,-73
1446665798.91495,-91,-77,-73,-76,-87,-76,-72,-74
1446665801.428409,-80,-77,-73,-75,-84,-81,-75,-74
1446665803.941856,-73,-77,-73,-75,-84,-81,-75,-74
1446665806.455299,-71,-76,-73,-76,-87,-77,-76,-76
1446665808.984658,-71,-75,-72,-76,-85,-88,-76,-76
1446665811.498189,-70,-76,-73,-76,-87,-85,-75,-73
1446665814.011704,-70,-78,-73,-77,-87,-77,-84,-73
1446665816.525049,-70,-72,-73,-77,-85,-84,-72,-72
1446665819.054433,-70,-71,-73,-76,-85,-84,-71,-72
1446665821.567895,-69,-71,-74,-76,-85,-84,-73,-73
1446665824.081286,-79,-74,-73,-76,-88,-82,-79,-73
