Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6,DEVICE7
1446665954.031208,-75,-77,-83,-82,-80,-71,-73,-82
1446665956.544459,-72,-79,-84,-82,-80,-72,-72,-84
1446665959.073782,-75,-78,-85,-82,-79,-75,-72,-84
1446665961.587159,-76,-76,-84,-82,-80,-79,-72,-85
1446665964.100617,-79,-72,-84,-83,-80,-75,-73,-80
1446665966.61396,-73,-75,-83,-84,-80,-79,-72,-81
1446665969.143203,-75,-78,-83,-83,-85,-77,-72,-87
1446665971.656652,-74,-78,-83,-76,-81,-72,-72,-87
1446665974.170608,-75,-77,-84,-77,-80,-75,-73,-88
1446665976.683593,-73,-79,-84,-82,-79,-75,-73,-83
1446665979.212935,-73,-75,-84,-84,-80,-77,-72,-83
1446665981.726511,-75,-75,-86,-83,-81,-84,-72,-82
1446665984.239881,-73,-75,-84,-83,-79,-76,-72,-78
1446665986.753207,-73,-79,-85,-83,-82,-76,-72,-78
1446665989.266783,-73,-81,-87,-82,-82,-75,-72,-79
1446665991.795927,-73,-78,-86,-82,-81,-76,-73,-79
1446665994.309437,-74,-79,-86,-82,-80,-74,-72,-82
1446665996.822841,-73,-79,-83,-82,-81,-73,-72,-81
1446665999.336202,-69,-79,-84,-82,-81,-74,-72,-82
1446666001.84971,-69,-79,-83,-82,-80,-74,-72,-85
1446666004.379173,-69,-79,-84,-81,-86,-74,-73,-85
1446666006.892593,-77,-79,-83,-80,-80,-79,-81,-83
1446666009.405984,-80,-83,-83,-81,-82,-77,-71,-83
1446666011.935212,-75,-80,-81,-80,-81,-81,-72,-80
1446666014.448631,-74,-80,-80,-79,-81,-78,-72,-84
1446666016.962044,-74,-80,-82,-80,-81,-72,-72,-83
1446666019.475515,-74,-78,-83,-81,-81,-73,-72,-82
1446666022.004777,-74,-79,-83,-89,-82,-73,-71,-81
1446666024.518276,-73,-78,-83,-90,-82,-76,-72,-79
1446666027.031825,-72,-76,-82,-87,-82,-88,-72,-81
1446666029.54534,-72,-76,-84,-82,-82,-88,-72,-80
1446666032.05881,-72,-78,-76,-82,-86,-79,-72,-79
1446666034.588109,-72,-75,-75,-83,-81,-75,-72,-81
1446666037.101527,-71,-74,-76,-84,-81,-72,-72,-82
1446666039.61509,-73,-75,-77,-81,-82,-72,-72,-81
1446666042.144229,-71,-74,-79,-79,-81,-72,-72,-84
1446666044.657657,-77,-73,-85,-81,-84,-72,-73,-85
1446666047.171123,-79,-73,-83,-79,-81,-72,-73,-79
1446666049.684633,-79,-74,-83,-80,-82,-75,-73,-79
1446666052.213833,-76,-81,-85,-87,-81,-75,-72,-81
1446666054.72727,-73,-75,-84,-88,-81,-72,-72,-81
1446666057.240728,-71,-73,-83,-86,-81,-72,-73,-80
1446666059.754249,-71,-73,-85,-84,-82,-74,-73,-79
1446666062.283561,-70,-73,-85,-79,-83,-74,-73,-79
1446666064.797047,-75,-73,-85,-79,-83,-71,-72,-78
1446666067.31037,-74,-74,-85,-79,-81,-72,-73,-80
1446666069.823884,-74,-75,-85,-81,-81,-73,-73,-79
1446666072.353128,-74,-74,-86,-83,-81,-73,-73,-79
1446666074.86664,-74,-75,-85,-81,-81,-73,-73,-78
1446666077.380051,-74,-78,-78,-82,-82,-73,-73,-78
1446666079.909275,-74,-78,-78,-81,-82,-73,-73,-78
1446666082.422774,-75,-76,-77,-80,-81,-73,-73,-77
1446666084.936229,-75,-77,-75,-79,-80,-73,-73,-78
1446666087.449531,-74,-78,-88,-81,-79,-73,-73,-81
1446666089.963039,-76,-75,-85,-80,-80,-73,-73,-80
1446666092.4923,-71,-80,-87,-80,-81,-73,-80,-82
1446666095.005771,-71,-81,-87,-80,-83,-72,-76,-80
1446666097.51933,-71,-79,-87,-81,-82,-73,-73,-82
1446666100.0327,-72,-75,-85,-85,-86,-73,-73,-81
1446666102.561885,-74,-79,-76,-83,-85,-72,-73,-78
1446666105.075746,-74,-77,-89,-84,-88,-73,-73,-82
1446666107.588966,-74,-80,-89,-82,-85,-77,-73,-85
1446666110.11831,-76,-78,-82,-81,-79,-80,-73,-82
1446666112.63159,-75,-79,-88,-80,-79,-74,-73,-80
1446666115.145135,-75,-77,-88,-78,-83,-73,-73,-80
1446666117.658623,-75,-77,-87,-86,-88,-73,-75,-80
1446666120.172028,-73,-78,-76,-82,-86,-72,-82,-79
1446666122.701201,-72,-77,-75,-83,-78,-73,-72,-80
1446666125.214579,-72,-77,-75,-83,-77,-73,-72,-81
1446666127.727966,-72,-78,-75,-83,-78,-73,-72,-82
