Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6,DEVICE7
1446666290,-73,-84,-72,-75,-78,-86,-73,-79
1446666292,-73,-84,-72,-74,-78,-87,-73,-78
1446666295,-73,-83,-71,-74,-77,-88,-73,-77
1446666297,-73,-84,-71,-75,-80,-88,-73,-78
1446666300,-73,-83,-79,-73,-79,-87,-75,-79
1446666302,-73,-82,-83,-73,-79,-82,-74,-80
1446666305,-73,-83,-82,-74,-80,-72,-75,-85
1446666307,-73,-83,-81,-74,-80,-71,-75,-89
1446666310,-73,-83,-84,-74,-80,-73,-74,-78
1446666313,-73,-83,-83,-73,-80,-73,-83,-78
1446666315,-75,-84,-82,-73,-80,-80,-90,-77
1446666318,-73,-88,-85,-73,-80,-85,-90,-77
1446666320,-73,-87,-83,-73,-79,-85,-77,-77
1446666323,-73,-88,-81,-73,-79,-83,-76,-77
1446666325,-73,-81,-71,-74,-79,-74,-86,-76
1446666328,-74,-79,-71,-79,-79,-73,-74,-77
1446666330,-73,-80,-78,-78,-80,-84,-83,-77
1446666333,-73,-81,-79,-78,-80,-85,-74,-78
1446666335,-73,-82,-80,-77,-79,-86,-74,-78
1446666338,-73,-80,-82,-78,-80,-85,-74,-78
1446666340,-74,-81,-81,-77,-79,-86,-73,-78
1446666343,-76,-80,-76,-77,-75,-75,-83,-88
1446666345,-76,-80,-71,-77,-76,-73,-74,-87
1446666348,-76,-85,-71,-77,-75,-73,-79,-80
1446666350,-76,-81,-71,-78,-77,-73,-82,-80
1446666353,-75,-80,-71,-78,-79,-72,-74,-81
1446666355,-75,-81,-71,-78,-80,-72,-87,-80
1446666358,-75,-82,-71,-78,-78,-73,-88,-82
1446666360,-75,-80,-71,-78,-78,-72,-74,-82
1446666363,-76,-81,-71,-78,-79,-72,-74,-81
1446666365,-77,-80,-71,-78,-79,-72,-74,-80
1446666368,-76,-80,-71,-77,-80,-72,-74,-81
1446666370,-75,-80,-71,-78,-80,-72,-74,-81
1446666373,-76,-81,-71,-78,-76,-72,-75,-81
1446666375,-75,-83,-71,-78,-74,-72,-88,-81
1446666378,-76,-82,-71,-78,-75,-72,-84,-81
1446666380,-75,-81,-71,-78,-75,-73,-76,-80
1446666383,-74,-81,-71,-79,-74,-73,-89,-81
1446666385,-73,-82,-71,-78,-76,-73,-80,-81
1446666388,-73,-83,-71,-78,-78,-73,-74,-81
1446666391,-73,-83,-71,-78,-78,-73,-75,-81
1446666393,-75,-83,-71,-78,-77,-73,-74,-80
1446666396,-76,-83,-71,-78,-74,-73,-74,-79
1446666398,-76,-83,-71,-77,-74,-87,-76,-79
1446666401,-76,-83,-71,-78,-75,-79,-87,-79
1446666403,-75,-80,-71,-77,-76,-73,-73,-85
1446666406,-76,-80,-71,-79,-78,-73,-74,-83
1446666408,-76,-80,-77,-79,-79,-73,-74,-79
1446666411,-76,-80,-85,-78,-79,-73,-74,-81
1446666413,-77,-80,-81,-78,-79,-73,-74,-81
1446666416,-75,-82,-78,-77,-82,-73,-74,-81
1446666418,-76,-83,-78,-76,-84,-78,-73,-80
1446666421,-76,-83,-77,-77,-84,-72,-76,-80
1446666423,-76,-83,-71,-75,-76,-73,-87,-79
1446666426,-75,-83,-73,-75,-76,-73,-91,-79
1446666428,-77,-80,-84,-74,-75,-73,-90,-85
1446666431,-78,-84,-80,-74,-76,-73,-89,-86
1446666433,-79,-83,-80,-74,-76,-72,-74,-84
1446666436,-78,-85,-82,-75,-81,-73,-74,-79
1446666438,-77,-82,-79,-75,-83,-73,-74,-79
1446666441,-76,-80,-71,-76,-77,-73,-74,-79
1446666443,-76,-85,-71,-77,-76,-72,-74,-85
1446666446,-77,-84,-71,-77,-77,-72,-74,-85
1446666448,-77,-84,-71,-78,-76,-74,-74,-84
1446666451,-76,-85,-70,-77,-76,-72,-74,-87
1446666453,-76,-82,-71,-77,-77,-72,-74,-85
1446666456,-76,-80,-70,-77,-78,-73,-73,-84
1446666458,-76,-80,-75,-77,-79,-73,-74,-86
1446666461,-77,-80,-76,-74,-80,-73,-74,-87
1446666464,-77,-80,-76,-77,-81,-73,-74,-88
