Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6,DEVICE7
1446666941.705265,-77,-76,-73,-78,-75,-73,-80,-82
1446666944.234568,-73,-76,-74,-82,-75,-73,-79,-85
1446666946.748068,-73,-82,-74,-79,-75,-83,-78,-86
1446666949.261506,-77,-80,-73,-79,-75,-83,-78,-89
1446666951.775213,-73,-80,-73,-79,-77,-83,-78,-89
1446666954.288464,-73,-79,-74,-79,-79,-83,-78,-88
1446666956.817866,-73,-80,-83,-79,-79,-83,-79,-88
1446666959.331484,-72,-80,-84,-78,-78,-83,-90,-84
1446666961.844652,-72,-76,-84,-78,-77,-84,-89,-82
1446666964.358223,-72,-75,-83,-78,-76,-82,-89,-88
1446666966.887548,-73,-75,-83,-77,-75,-76,-83,-88
1446666969.40093,-73,-75,-82,-84,-76,-74,-83,-85
1446666971.914398,-73,-75,-83,-78,-76,-74,-85,-81
1446666974.427813,-73,-76,-83,-78,-75,-75,-87,-81
1446666976.957189,-73,-76,-81,-78,-77,-75,-79,-80
1446666979.4707,-73,-76,-81,-84,-79,-75,-79,-80
1446666981.983979,-72,-75,-78,-78,-78,-75,-89,-81
1446666984.497536,-72,-75,-81,-81,-77,-76,-87,-81
1446666987.02678,-76,-78,-83,-82,-77,-82,-83,-82
1446666989.540332,-77,-90,-83,-78,-77,-82,-79,-81
1446666992.053862,-73,-89,-83,-78,-77,-82,-79,-80
1446666994.567449,-73,-89,-83,-79,-77,-81,-82,-84
1446666997.080768,-73,-89,-83,-79,-86,-81,-83,-85
1446666999.61006,-73,-89,-83,-78,-74,-81,-87,-85
1446667002.123606,-73,-88,-83,-78,-77,-81,-86,-85
1446667004.637084,-72,-88,-79,-78,-75,-82,-79,-85
1446667007.150612,-72,-80,-74,-79,-74,-82,-81,-85
1446667009.679911,-72,-77,-77,-78,-74,-82,-86,-85
1446667012.193304,-72,-75,-85,-79,-74,-83,-84,-89
1446667014.706651,-72,-76,-85,-80,-74,-83,-81,-86
1446667017.220171,-72,-80,-85,-79,-75,-83,-85,-84
1446667019.733637,-72,-79,-85,-79,-77,-83,-80,-85
1446667022.262865,-72,-79,-84,-85,-77,-77,-80,-88
1446667024.776328,-72,-80,-84,-81,-77,-83,-79,-88
1446667027.2898,-72,-81,-76,-78,-77,-82,-78,-83
1446667029.819094,-72,-82,-74,-79,-76,-81,-86,-86
1446667032.332633,-72,-82,-75,-88,-77,-80,-86,-85
1446667034.84605,-89,-82,-75,-88,-75,-81,-88,-86
1446667037.359377,-77,-79,-74,-88,-76,-81,-77,-87
1446667039.88857,-74,-75,-74,-83,-76,-80,-79,-85
1446667042.402064,-73,-75,-73,-78,-77,-80,-84,-85
1446667044.915612,-73,-75,-81,-89,-76,-78,-80,-86
1446667047.429074,-73,-75,-74,-85,-78,-74,-85,-88
1446667049.958307,-73,-76,-74,-89,-78,-75,-83,-88
1446667052.471793,-80,-75,-75,-83,-78,-75,-86,-88
1446667054.985347,-77,-76,-75,-81,-74,-75,-80,-88
1446667057.498761,-73,-76,-74,-82,-75,-76,-80,-86
1446667060.028125,-73,-83,-75,-83,-77,-78,-85,-85
1446667062.541634,-73,-75,-76,-79,-80,-80,-85,-86
1446667065.054963,-72,-76,-88,-81,-74,-81,-86,-83
1446667067.568451,-73,-76,-88,-83,-76,-80,-83,-84
1446667070.097773,-73,-77,-73,-79,-74,-74,-83,-87
1446667072.611255,-72,-75,-73,-79,-73,-74,-80,-83
1446667075.124747,-71,-75,-74,-89,-73,-74,-78,-82
1446667077.653965,-74,-75,-75,-87,-73,-75,-77,-84
1446667080.167576,-72,-80,-74,-79,-73,-74,-83,-86
1446667082.680903,-71,-87,-74,-90,-74,-76,-86,-87
1446667085.194345,-72,-80,-74,-87,-77,-83,-84,-89
1446667087.707893,-73,-79,-74,-86,-80,-83,-83,-87
