Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6,DEVICE7
1446667738.988864,-83,-80,-83,-89,-85,-88,-78,-83
1446667741.502307,-81,-83,-80,-88,-79,-90,-78,-82
1446667744.031801,-82,-83,-79,-86,-85,-76,-78,-77
1446667746.54525,-81,-82,-79,-88,-89,-77,-78,-77
1446667749.058736,-80,-84,-79,-93,-89,-79,-79,-77
1446667751.572087,-83,-82,-79,-89,-90,-86,-83,-87
1446667754.101397,-86,-82,-79,-90,-89,-82,-78,-82
1446667756.614714,-86,-88,-79,-86,-80,-80,-77,-82
1446667759.128283,-86,-84,-81,-87,-78,-88,-76,-82
1446667761.64171,-85,-86,-82,-87,-78,-92,-76,-82
1446667764.155237,-80,-83,-74,-86,-78,-83,-74,-82
1446667766.684471,-79,-84,-77,-87,-78,-81,-76,-82
1446667769.197984,-84,-84,-78,-87,-79,-84,-76,-85
1446667771.711448,-84,-89,-82,-90,-85,-78,-79,-88
1446667774.225062,-84,-82,-83,-87,-79,-78,-82,-87
1446667776.75436,-82,-80,-83,-87,-80,-85,-82,-88
1446667779.267774,-81,-79,-77,-87,-79,-77,-82,-85
1446667781.781188,-74,-79,-77,-87,-79,-77,-83,-79
1446667784.294507,-73,-80,-77,-85,-79,-79,-83,-79
1446667786.808009,-73,-83,-79,-89,-79,-78,-83,-80
1446667789.337305,-73,-83,-80,-88,-79,-78,-82,-86
1446667791.850813,-73,-87,-85,-86,-79,-85,-83,-80
1446667794.364337,-73,-82,-85,-86,-80,-79,-83,-79
1446667796.893598,-73,-82,-85,-92,-81,-79,-83,-79
1446667799.407145,-73,-82,-86,-86,-81,-81,-82,-79
1446667801.920555,-73,-81,-78,-87,-80,-89,-81,-88
1446667804.434045,-73,-80,-76,-86,-83,-84,-76,-88
1446667806.947488,-73,-82,-76,-86,-88,-79,-75,-84
1446667809.476716,-74,-85,-75,-86,-88,-78,-75,-83
1446667811.990222,-84,-82,-75,-85,-83,-79,-75,-84
1446667814.503759,-78,-87,-75,-85,-79,-85,-75,-81
1446667817.017259,-78,-81,-75,-87,-86,-79,-76,-85
1446667819.546709,-76,-81,-75,-87,-84,-79,-83,-88
1446667822.059967,-74,-82,-75,-91,-79,-80,-83,-87
1446667824.5736,-76,-85,-75,-88,-79,-79,-78,-80
1446667827.087053,-77,-85,-75,-87,-78,-81,-77,-79
1446667829.616397,-85,-91,-76,-90,-77,-79,-76,-85
1446667832.129793,-85,-84,-83,-90,-80,-79,-75,-80
1446667834.643318,-85,-84,-85,-91,-83,-79,-82,-86
1446667837.172565,-81,-80,-85,-89,-77,-85,-83,-88
1446667839.686069,-78,-81,-85,-88,-77,-79,-84,-88
1446667842.199809,-74,-85,-85,-85,-78,-79,-83,-88
1446667844.713074,-73,-87,-80,-84,-79,-78,-83,-85
1446667847.242395,-74,-81,-82,-84,-87,-79,-83,-79
1446667849.755953,-76,-82,-79,-85,-89,-82,-83,-88
1446667852.269297,-83,-85,-79,-84,-79,-79,-83,-89
1446667854.782741,-81,-82,-75,-90,-80,-86,-83,-84
1446667857.311911,-76,-82,-75,-85,-83,-86,-82,-83
1446667859.825445,-83,-85,-75,-89,-80,-80,-83,-88
1446667862.338891,-83,-92,-75,-88,-78,-88,-82,-83
1446667864.852421,-83,-87,-75,-84,-79,-89,-83,-81
1446667867.381699,-83,-93,-78,-89,-88,-79,-79,-80
1446667869.895206,-83,-87,-81,-85,-82,-80,-78,-79
1446667872.408661,-83,-83,-80,-87,-79,-80,-77,-85
1446667874.922106,-83,-85,-86,-86,-80,-81,-77,-88
1446667877.435542,-83,-85,-76,-84,-89,-82,-75,-84
1446667879.964778,-83,-87,-76,-89,-90,-86,-76,-80
1446667882.478169,-82,-87,-79,-89,-89,-87,-76,-80
1446667884.991635,-82,-83,-80,-87,-89,-86,-76,-79
1446667887.505133,-76,-93,-80,-86,-89,-84,-76,-79
1446667890.034353,-73,-82,-81,-88,-90,-88,-73,-80
1446667892.547845,-73,-82,-81,-88,-83,-85,-77,-80
1446667895.061232,-73,-83,-77,-85,-81,-81,-83,-86
1446667897.574915,-73,-85,-79,-83,-82,-86,-82,-87
1446667900.10408,-73,-85,-81,-86,-79,-89,-83,-80
1446667902.617398,-73,-84,-85,-85,-78,-81,-83,-81
1446667905.130764,-74,-85,-85,-86,-78,-81,-83,-82
1446667907.644383,-74,-85,-86,-86,-78,-81,-83,-87
1446667910.173653,-74,-85,-86,-88,-89,-86,-83,-88
1446667912.687134,-73,-87,-85,-89,-88,-83,-83,-87
1446667915.20071,-74,-84,-86,-83,-83,-85,-83,-86
1446667917.7141,-73,-85,-86,-88,-82,-87,-83,-80
1446667920.243439,-73,-82,-77,-88,-81,-87,-83,-80
1446667922.75694,-73,-83,-76,-87,-76,-86,-80,-80
1446667925.270347,-74,-85,-76,-85,-76,-85,-78,-80
1446667927.783862,-74,-88,-77,-87,-76,-84,-77,-79
1446667930.313185,-73,-91,-76,-86,-76,-84,-77,-87
1446667932.82653,-76,-83,-75,-88,-77,-80,-77,-88
