Timestamp,Device ID,RSSI
38793,0,94
38793,1,75
38793,2,96
38793,3,92
38793,4,93
38793,5,93
38793,6,87
38793,7,89
38793,8,88
38793,9,87
38793,10,87
38793,11,79
38793,12,89
38793,13,83
38793,14,84
38827,0,93
38827,1,79
38827,2,96
38827,3,93
38827,4,94
38827,5,94
38827,6,91
38827,7,84
38827,8,88
38827,9,87
38827,10,84
38827,11,82
38827,12,89
38827,13,87
38827,14,85
38827,15,48
38861,0,93
38861,1,78
38861,2,96
38861,3,93
38861,4,94
38861,5,95
38861,6,90
38861,7,90
38861,8,89
38861,9,89
38861,10,82
38861,11,79
38861,12,91
38861,13,86
38861,14,87
38861,15,52
38896,0,93
38896,1,79
38896,2,96
38896,3,93
38896,4,94
38896,5,93
38896,6,85
38896,7,83
38896,8,88
38896,9,90
38896,10,84
38896,11,80
38896,12,90
38896,13,85
38896,14,85
38896,15,50
38930,0,93
38930,1,87
38930,2,96
38930,3,93
38930,4,94
38930,5,93
38930,6,89
38930,7,80
38930,8,88
38930,9,87
38930,10,83
38930,11,79
38930,12,88
38930,13,84
38930,14,87
38930,15,52
38965,0,93
38965,1,78
38965,2,96
38965,3,92
38965,4,93
38965,5,93
38965,6,85
38965,7,83
38965,8,88
38965,9,87
38965,10,84
38965,11,80
38965,12,89
38965,13,86
38965,14,86
38999,0,93
38999,1,73
38999,2,96
38999,3,92
38999,4,93
38999,5,92
38999,6,92
38999,7,86
38999,8,87
38999,9,88
38999,10,81
38999,11,79
38999,12,89
38999,13,88
38999,14,84
39034,0,93
39034,1,79
39034,2,96
39034,3,94
39034,4,93
39034,5,93
39034,6,91
39034,7,82
39034,8,91
39034,9,88
39034,10,83
39034,11,80
39034,12,90
39034,13,86
39034,14,84
39034,15,47
39068,0,94
39068,1,77
39068,2,96
39068,3,93
39068,4,93
39068,5,92
39068,6,89
39068,7,81
39068,8,87
39068,9,90
39068,10,86
39068,11,89
39068,12,88
39068,13,87
39068,14,84
39068,15,51
39102,0,93
39102,1,79
39102,2,96
39102,3,93
39102,4,94
39102,5,94
39102,6,88
39102,7,83
39102,8,87
39102,9,88
39102,10,85
39102,11,83
39102,12,90
39102,13,86
39102,14,87
39102,15,47
39137,0,92
39137,1,82
39137,2,96
39137,3,93
39137,4,93
39137,5,93
39137,6,92
39137,7,83
39137,8,88
39137,9,88
39137,10,84
39137,11,78
39137,12,89
39137,13,82
39137,14,85
39137,15,47
39171,0,94
39171,1,74
39171,2,96
39171,3,93
39171,4,93
39171,5,93
39171,6,90
39171,7,84
39171,8,86
39171,9,87
39171,10,81
39171,11,81
39171,12,90
39171,13,80
39171,14,86
39171,15,49
39206,0,93
39206,1,76
39206,2,96
39206,3,94
39206,4,93
39206,5,93
39206,6,86
39206,7,86
39206,8,87
39206,9,87
39206,10,83
39206,11,81
39206,12,87
39206,13,84
39206,14,83
39206,15,48
39240,0,93
39240,1,82
39240,2,96
39240,3,93
39240,4,94
39240,5,91
39240,6,88
39240,7,85
39240,8,88
39240,9,86
39240,10,87
39240,11,84
39240,12,88
39240,13,85
39240,14,87
39240,15,47
39275,0,93
39275,1,78
39275,2,96
39275,3,94
39275,4,94
39275,5,94
39275,6,84
39275,7,88
39275,8,88
39275,9,88
39275,10,84
39275,11,82
39275,12,89
39275,13,80
39275,14,85
39275,15,47
39309,0,94
39309,1,81
39309,2,96
39309,3,94
39309,4,94
39309,5,93
39309,6,89
39309,7,86
39309,8,87
39309,9,88
39309,10,78
39309,11,85
39309,12,90
39309,13,85
39309,14,88
39309,15,48
39344,0,93
39344,1,80
39344,2,96
39344,3,93
39344,4,94
39344,5,94
39344,6,85
39344,7,86
39344,8,88
39344,9,89
39344,10,86
39344,11,81
39344,12,91
39344,13,86
39344,14,86
39344,15,47
39378,0,95
39378,1,82
39378,2,96
39378,3,95
39378,4,93
39378,5,94
39378,6,88
39378,7,83
39378,8,91
39378,9,88
39378,10,90
39378,11,85
39378,12,89
39378,13,86
39378,14,85
39378,15,47
39412,0,93
39412,1,75
39412,2,96
39412,3,92
39412,4,94
39412,5,94
39412,6,88
39412,7,84
39412,8,90
39412,9,89
39412,10,82
39412,11,79
39412,12,90
39412,13,84
39412,14,87
39412,15,48
39447,0,92
39447,1,76
39447,2,96
39447,3,93
39447,4,94
39447,5,94
39447,6,88
39447,7,87
39447,8,88
39447,9,88
39447,10,87
39447,11,79
39447,12,89
39447,13,81
39447,14,88
39447,15,47
39481,0,94
39481,1,81
39481,2,96
39481,3,93
39481,4,93
39481,5,93
39481,6,91
39481,7,86
39481,8,88
39481,9,89
39481,10,86
39481,11,79
39481,12,89
39481,13,83
39481,14,84
39481,15,47
39516,0,93
39516,1,82
39516,2,96
39516,3,93
39516,4,94
39516,5,93
39516,6,82
39516,7,87
39516,8,88
39516,9,88
39516,10,85
39516,11,86
39516,12,89
39516,13,86
39516,14,86
39516,15,49
39550,0,94
39550,1,79
39550,2,96
39550,3,93
39550,4,93
39550,5,94
39550,6,88
39550,7,83
39550,8,91
39550,9,88
39550,10,85
39550,11,83
39550,12,88
39550,13,86
39550,14,86
39550,15,48
39584,0,93
39584,1,75
39584,2,96
39584,3,92
39584,4,93
39584,5,93
39584,6,92
39584,7,82
39584,8,87
39584,9,91
39584,10,88
39584,11,81
39584,12,89
39584,13,83
39584,14,87
39584,15,50
39619,0,93
39619,1,80
39619,2,96
39619,3,94
39619,4,95
39619,5,95
39619,6,89
39619,7,86
39619,8,89
39619,9,87
39619,10,87
39619,11,79
39619,12,91
39619,13,81
39619,14,85
39619,15,50
39653,0,94
39653,1,78
39653,2,96
39653,3,92
39653,4,95
39653,5,94
39653,6,89
39653,7,85
39653,8,88
39653,9,89
39653,10,84
39653,11,79
39653,12,90
39653,13,82
39653,14,84
39653,15,55
39687,0,94
39687,1,82
39687,2,96
39687,3,91
39687,4,92
39687,5,93
39687,6,85
39687,7,87
39687,8,87
39687,9,87
39687,10,82
39687,11,80
39687,12,89
39687,13,89
39687,14,83
39687,15,48
39722,0,93
39722,1,81
39722,2,96
39722,3,94
39722,4,94
39722,5,95
39722,6,87
39722,7,89
39722,8,92
39722,9,87
39722,10,81
39722,11,80
39722,12,87
39722,13,87
39722,14,89
39722,15,54
39756,0,92
39756,1,86
39756,2,95
39756,3,93
39756,4,92
39756,5,92
39756,6,84
39756,7,82
39756,8,91
39756,9,89
39756,10,85
39756,11,80
39756,12,87
39756,13,89
39756,14,93
39756,15,48
39791,0,91
39791,1,84
39791,2,94
39791,3,91
39791,4,94
39791,5,97
39791,6,92
39791,7,84
39791,8,88
39791,9,86
39791,10,88
39791,11,84
39791,12,87
39791,13,86
39791,14,89
39791,15,47
39825,0,93
39825,3,94
39825,4,94
39825,5,97
39825,6,79
39825,7,79
39825,8,87
39825,9,84
39825,10,81
39825,11,86
39825,12,91
39825,13,96
39825,14,90
39825,15,49
39859,3,95
39859,4,91
39859,5,97
39859,6,94
39859,7,77
39859,8,96
39859,9,94
39859,11,78
39859,12,88
39859,13,89
39859,14,87
39859,15,54
39894,3,97
39894,4,97
39894,6,95
39894,7,83
39894,8,85
39894,9,88
39894,10,82
39894,11,79
39894,12,89
39894,13,97
39894,14,90
39894,15,47
39928,1,72
39928,3,92
39928,4,94
39928,5,97
39928,6,95
39928,7,93
39928,8,86
39928,9,88
39928,10,82
39928,11,78
39928,12,90
39928,13,81
39928,14,88
39928,15,49
39963,1,77
39963,4,91
39963,5,97
39963,6,87
39963,7,90
39963,8,85
39963,9,91
39963,10,91
39963,11,79
39963,12,96
39963,13,90
39963,14,86
39963,15,48
39997,1,72
39997,3,92
39997,4,91
39997,5,97
39997,6,88
39997,7,81
39997,8,87
39997,9,89
39997,10,91
39997,11,90
39997,12,92
39997,13,81
39997,14,87
39997,15,51
40031,1,73
40031,3,96
40031,4,95
40031,5,97
40031,6,79
40031,7,91
40031,8,86
40031,9,85
40031,10,91
40031,11,78
40031,12,93
40031,13,88
40031,14,81
40031,15,47
40066,1,73
40066,3,90
40066,4,95
40066,5,97
40066,6,90
40066,7,81
40066,8,86
40066,9,84
40066,10,86
40066,11,78
40066,12,88
40066,13,90
40066,14,85
40066,15,47
40100,0,94
40100,1,72
40100,2,95
40100,3,88
40100,4,94
40100,5,96
40100,6,92
40100,7,87
40100,8,86
40100,9,87
40100,10,87
40100,11,83
40100,12,91
40100,13,86
40100,14,86
40100,15,47
40134,0,91
40134,1,79
40134,2,97
40134,3,92
40134,4,92
40134,5,96
40134,6,82
40134,7,92
40134,8,85
40134,9,89
40134,10,91
40134,11,79
40134,12,91
40134,13,90
40134,14,86
40134,15,47
40169,0,93
40169,1,72
40169,2,95
40169,3,93
40169,4,93
40169,5,97
40169,6,94
40169,7,80
40169,8,86
40169,9,86
40169,10,81
40169,11,88
40169,12,88
40169,13,83
40169,14,90
40169,15,47
40203,0,93
40203,1,72
40203,2,95
40203,3,88
40203,4,94
40203,5,96
40203,6,92
40203,7,89
40203,8,89
40203,9,88
40203,10,81
40203,11,79
40203,12,92
40203,13,86
40203,14,85
40203,15,49
40238,0,92
40238,1,72
40238,2,95
40238,3,90
40238,4,93
40238,5,96
40238,6,91
40238,7,88
40238,8,85
40238,9,87
40238,10,83
40238,11,78
40238,12,90
40238,13,90
40238,14,87
40238,15,51
40272,0,93
40272,1,72
40272,2,95
40272,3,90
40272,4,93
40272,5,96
40272,6,83
40272,7,84
40272,8,85
40272,9,89
40272,10,87
40272,11,82
40272,12,92
40272,13,87
40272,14,84
40272,15,48
40306,0,94
40306,1,78
40306,2,95
40306,3,90
40306,4,93
40306,5,96
40306,6,88
40306,7,89
40306,8,87
40306,9,88
40306,10,87
40306,11,81
