Timestamp,Device ID,RSSI
502,0,73
502,1,70
502,2,54
502,3,50
530,0,61
530,1,71
530,2,57
530,3,54
530,5,47
530,6,60
530,7,60
530,8,67
530,9,77
530,10,66
530,11,54
530,12,51
530,13,50
558,0,58
558,1,75
558,2,57
558,3,53
558,5,47
558,6,59
558,7,65
558,8,68
558,9,83
558,10,60
558,11,55
558,12,50
558,13,55
587,0,65
587,1,64
587,2,80
587,3,53
587,5,48
587,6,59
587,7,64
587,8,66
587,9,82
587,10,64
587,11,53
587,12,50
587,13,53
615,0,65
615,1,61
615,2,73
615,3,48
615,5,48
615,6,58
615,7,61
615,8,69
615,9,78
615,10,61
615,11,60
615,12,50
615,13,50
644,0,69
644,1,73
644,2,79
644,3,80
644,5,56
644,6,69
644,7,71
644,8,73
644,9,81
644,10,64
644,11,60
644,12,61
644,13,61
672,0,75
672,1,67
672,2,68
672,3,71
672,5,74
672,6,71
672,7,70
672,8,69
672,9,70
672,10,62
672,11,67
672,12,64
672,13,65
700,0,80
700,1,72
700,2,64
700,3,69
700,5,72
700,6,86
700,7,71
700,8,71
700,9,68
700,10,64
700,11,67
700,12,65
700,13,67
729,0,79
729,1,72
729,2,61
729,3,69
729,5,74
729,6,86
729,7,82
729,8,70
729,9,70
729,10,66
729,11,67
729,12,62
729,13,66
757,0,74
757,1,69
757,2,64
757,3,68
757,5,72
757,6,85
757,7,86
757,8,82
757,9,72
757,10,64
757,11,68
757,12,66
757,13,61
785,0,78
785,1,67
785,2,68
785,3,70
785,5,73
785,6,87
785,7,83
785,8,80
785,9,90
785,10,70
785,11,63
785,12,63
785,13,63
814,0,74
814,1,68
814,2,65
814,3,70
814,5,73
814,6,85
814,7,77
814,8,81
814,9,94
814,10,79
814,11,65
814,12,68
814,13,62
842,0,77
842,1,69
842,2,63
842,3,72
842,5,74
842,6,87
842,7,83
842,8,80
842,9,94
842,11,78
842,12,62
842,13,67
870,0,77
870,1,66
870,2,68
870,3,70
870,5,72
870,6,86
870,7,79
870,8,81
870,9,94
870,11,84
899,0,77
899,1,70
899,2,63
899,3,69
899,5,76
899,6,85
899,7,82
899,8,85
899,9,93
899,11,88
927,0,76
927,1,72
927,2,62
927,3,70
927,5,70
927,6,87
927,7,81
927,8,85
927,9,94
927,11,90
955,0,74
955,1,72
955,2,60
955,3,71
955,5,69
955,6,82
955,7,76
955,8,81
955,9,94
955,11,90
984,0,75
984,1,70
984,2,60
984,3,71
984,5,72
984,6,88
984,7,77
984,8,87
984,9,94
984,11,85
1012,0,77
1012,1,73
1012,2,62
1012,3,67
1012,5,69
1012,6,84
1012,7,79
1012,8,82
1012,9,94
1012,11,82
1040,0,75
1040,1,69
1040,2,63
1040,3,70
1040,5,70
1040,6,88
1040,7,80
1040,8,79
1040,9,94
1040,11,88
1069,0,75
1069,1,68
1069,2,63
1069,3,66
1069,5,74
1069,6,86
1069,7,77
1069,8,87
1069,9,92
1069,11,94
1097,0,79
1097,1,73
1097,2,63
1097,3,68
1097,5,69
1097,6,84
1097,7,77
1097,8,81
1097,9,92
1097,11,93
1125,0,76
1125,1,73
1125,2,61
1125,3,70
1125,5,70
1125,6,81
1125,7,81
1125,8,88
1125,9,93
1125,11,87
1154,0,80
1154,1,70
1154,2,62
1154,3,69
1154,5,71
1154,6,84
1154,7,83
1154,8,83
1154,9,94
1154,11,88
1182,0,77
1182,1,73
1182,2,63
1182,3,67
1182,5,71
1182,6,83
1182,7,81
1182,8,91
1182,9,93
1182,11,91
1210,0,77
1210,1,67
1210,2,65
1210,3,71
1210,5,67
1210,6,82
1210,7,85
1210,8,87
1210,9,92
1210,11,91
1239,0,77
1239,1,68
1239,2,62
1239,3,69
1239,5,69
1239,6,83
1239,7,80
1239,8,85
1239,9,92
1239,11,92
1267,0,77
1267,1,74
1267,2,62
1267,3,67
1267,5,71
1267,6,80
1267,7,82
1267,8,86
1267,9,92
1267,11,92
1295,0,79
1295,1,74
1295,2,61
1295,3,69
1295,5,73
1295,6,84
1295,7,79
1295,8,84
1295,9,93
1295,11,91
1324,0,77
1324,1,73
1324,2,61
1324,3,69
1324,5,66
1324,6,84
1324,7,80
1324,8,82
1324,9,93
1324,11,89
1352,0,78
1352,1,74
1352,2,61
1352,3,71
1352,5,67
1352,6,84
1352,7,81
1352,8,83
1352,9,94
1352,11,91
1380,0,77
1380,1,68
1380,2,61
1380,3,72
1380,5,71
1380,6,84
1380,7,80
1380,8,84
1380,9,90
1380,11,91
1409,0,77
1409,1,68
1409,2,61
1409,3,71
1409,5,69
1409,6,84
1409,7,84
1409,8,85
1409,9,94
1409,11,88
1437,0,78
1437,1,73
1437,2,60
1437,3,71
1437,5,70
1437,6,83
1437,7,80
1437,8,85
1437,9,93
1437,11,89
1465,0,77
1465,1,69
1465,2,61
1465,3,72
1465,5,70
1465,6,85
1465,7,83
1465,8,90
1465,9,93
1465,11,89
1494,0,76
1494,1,69
1494,2,61
1494,3,71
1494,5,77
1494,6,83
1494,7,77
1494,8,84
1494,9,94
1494,11,83
1494,12,94
1522,0,81
1522,1,73
1522,2,60
1522,3,69
1522,5,72
1522,6,94
1522,7,83
1522,8,81
1522,9,88
1522,11,85
1522,12,94
1550,0,81
1550,1,75
1550,3,69
1550,5,74
1550,6,86
1550,7,81
1550,8,85
1550,9,90
1550,11,85
1578,0,80
1578,1,73
1578,3,70
1578,5,69
1578,6,85
1578,7,76
1578,8,81
1578,9,91
1578,11,84
1578,12,94
1607,0,82
1607,1,69
1607,3,70
1607,5,72
1607,6,85
1607,7,87
1607,8,82
1607,9,91
1607,11,88
1607,12,94
1635,0,77
1635,1,71
1635,2,65
1635,3,72
1635,5,69
1635,6,83
1635,7,76
1635,8,88
1635,9,91
1635,11,85
1635,13,94
1663,0,76
1663,1,67
1663,2,66
1663,3,69
1663,5,73
1663,6,84
1663,7,78
1663,8,84
1663,9,91
1663,11,86
1663,13,91
1692,0,81
1692,1,70
1692,2,76
1692,3,71
1692,5,72
1692,6,76
1692,7,80
1692,8,85
1692,9,87
1692,11,88
1692,13,93
1720,0,80
1720,1,71
1720,2,75
1720,3,72
1720,5,72
1720,6,77
1720,7,81
1720,8,88
1720,9,88
1720,11,90
1748,0,78
1748,1,72
1748,2,74
1748,3,72
1748,5,73
1748,6,76
1748,7,81
1748,8,90
1748,9,86
1748,11,92
1748,12,94
1748,13,94
1777,0,83
1777,1,76
1777,2,74
1777,3,74
1777,5,73
1777,6,81
1777,7,81
1777,8,86
1777,9,87
1777,11,91
1777,12,88
1805,0,80
1805,1,72
1805,2,78
1805,3,69
1805,5,71
1805,6,80
1805,7,81
1805,8,89
1805,9,86
1805,11,93
1805,12,94
1805,13,94
1833,0,76
1833,1,72
1833,2,78
1833,3,72
1833,5,72
1833,6,79
1833,7,80
1833,8,90
1833,9,88
1833,11,93
1833,12,93
1862,0,80
1862,1,69
1862,2,74
1862,3,72
1862,5,70
1862,6,76
1862,7,80
1862,9,89
1862,11,94
1862,12,94
1890,0,91
1890,1,69
1890,2,78
1890,3,69
1890,5,70
1890,6,78
1890,7,81
1890,9,84
1890,11,94
1918,0,78
1918,1,73
1918,2,76
1918,3,86
1918,5,71
1918,6,79
1918,7,85
1918,8,94
1918,9,85
1918,12,90
1918,13,94
1947,0,78
1947,1,70
1947,2,75
1947,3,91
1947,5,72
1947,6,77
1947,7,82
1947,8,94
1947,9,86
1947,11,92
1947,12,94
1975,0,94
1975,1,70
1975,2,76
1975,3,86
1975,5,72
1975,6,79
1975,7,80
1975,8,90
1975,9,94
1975,11,93
1975,12,94
2003,0,76
2003,1,70
2003,2,77
2003,3,81
2003,4,93
2003,5,73
2003,6,77
2003,7,82
2003,8,88
2003,9,87
2003,11,94
2003,12,94
2031,0,77
2031,1,73
2031,2,77
2031,3,82
2031,5,73
2031,6,80
2031,7,81
2031,9,94
2031,12,83
2060,0,77
2060,1,69
2060,2,76
2060,3,90
2060,5,71
2060,6,76
2060,7,79
2060,8,85
2060,9,88
2060,11,93
2060,12,76
2088,0,92
