Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6
1447533351.955845,0.0,1.0,6.0,7.0,5.0,6.0,7.0
1447533354.198584,0.0,8.0,6.0,8.0,8.0,0.0,8.0
1447533355.38269,0.0,3.0,3.0,3.0,4.0,3.0,1.0
1447533356.471172,0.0,0.0,4.0,3.0,1.0,3.0,0.0
1447533357.575533,0.0,10.0,10.0,10.0,9.0,10.0,10.0
1447533358.663925,0.0,3.0,1.0,5.0,2.0,5.0,4.0
1447533359.752384,0.0,8.0,7.0,0.0,7.0,7.0,8.0
1447533360.856871,0.0,10.0,10.0,10.0,10.0,10.0,9.0
1447533361.945386,0.0,8.0,7.0,9.0,10.0,0.0,8.0
1447533363.049609,0.0,8.0,8.0,8.0,8.0,8.0,6.0
1447533364.137976,0.0,0.0,2.0,1.0,3.0,2.0,0.0
1447533365.226524,0.0,5.0,8.0,8.0,8.0,9.0,6.0
1447533366.330793,0.0,8.0,6.0,8.0,7.0,9.0,10.0
1447533367.419287,0.0,5.0,0.0,2.0,2.0,7.0,6.0
1447533368.507665,0.0,9.0,9.0,5.0,8.0,9.0,5.0
1447533369.628105,0.0,9.0,9.0,8.0,10.0,3.0,9.0
1447533370.732642,0.0,9.0,10.0,10.0,9.0,5.0,10.0
1447533371.836929,0.0,5.0,1.0,5.0,7.0,5.0,3.0
1447533372.925397,0.0,1.0,4.0,3.0,5.0,4.0,3.0
1447533374.029774,0.0,10.0,9.0,10.0,10.0,10.0,10.0
1447533375.11808,0.0,1.0,0.0,2.0,0.0,3.0,2.0
1447533376.206598,0.0,2.0,1.0,1.0,3.0,2.0,2.0
1447533377.310887,0.0,10.0,9.0,10.0,10.0,8.0,9.0
1447533378.39946,0.0,9.0,9.0,9.0,9.0,1.0,9.0
1447533379.487817,0.0,6.0,6.0,6.0,5.0,2.0,4.0
1447533380.592137,0.0,0.0,2.0,1.0,2.0,1.0,0.0
1447533381.680541,0.0,8.0,9.0,9.0,8.0,10.0,9.0
1447533382.784827,0.0,5.0,4.0,5.0,4.0,5.0,6.0
1447533383.873357,0.0,5.0,2.0,0.0,2.0,3.0,3.0
1447533384.993637,0.0,7.0,10.0,7.0,9.0,10.0,9.0
1447533386.098154,0.0,3.0,5.0,2.0,2.0,1.0,1.0
1447533387.186568,0.0,9.0,9.0,9.0,8.0,6.0,9.0
1447533388.275066,0.0,5.0,5.0,5.0,6.0,7.0,4.0
