Timestamp,DEVICE0,DEVICE1
1449254166.61604,0.0,0.0
1449254172.587684,4.0,16.0
1449254178.543587,4.0,21.0
1449254184.523259,4.0,11.0
1449254190.486925,5.0,17.0
1449254196.444576,5.0,23.0
1449254202.416182,5.0,18.0
1449254208.37096,6.0,21.0
1449254214.342634,6.0,23.0
1449254220.299395,7.0,12.0
1449254226.272099,7.0,12.0
1449254232.228139,7.0,18.0
1449254238.184295,8.0,13.0
1449254244.139606,8.0,23.0
1449254250.111132,8.0,14.0
1449254256.065667,9.0,13.0
1449254262.022834,9.0,14.0
1449254267.979665,10.0,14.0
1449254273.935431,10.0,15.0
1449254279.891502,11.0,11.0
1449254285.846474,11.0,19.0
1449254291.801351,11.0,16.0
1449254297.758398,12.0,19.0
1449254303.712593,12.0,23.0
1449254309.669878,13.0,16.0
1449254315.625584,13.0,14.0
1449254321.565733,14.0,20.0
1449254327.520057,14.0,23.0
1449254333.475618,15.0,21.0
1449254339.417246,15.0,18.0
1449254345.371676,16.0,23.0
1449254351.32738,16.0,19.0
1449254357.267709,17.0,21.0
1449254363.208629,17.0,21.0
1449254369.16334,18.0,20.0
